Institution_Srce,Institution_Strd
上海北市盆湯衖絲業會,上海北巿絲業會館
上海北市盆絲業會館,上海北巿絲業會館
上海北市益湯業會,上海北巿絲業會館
上海北市絲業會,上海北巿絲業會館
上海北市絲業會館,上海北巿絲業會館
上海北市絲業會館籌賑公所,上海北巿絲業會館
上海北市絲業會館籌賑所,上海北巿絲業會館
上海匯　銀行,匯豐銀行
"上海匯衆煙草公司
","上海匯衆煙草公司
"
上海匯豐行,匯豐銀行
上海協,Remove
上海協賬公所,上海協賬公所
上海南北市棕　店,上海南北市棕店
上海南區襪廠職工會第二分會,上海南區襪廠職工會
上海南市中國通商銀行,上海南市中國通商銀行
上海南洋大學圖書館,上海南洋大學
上海南貨職員公會,上海南貨職員公會
上海南貨職員會,上海南貨職員公會
上海及漢陽兵工廠,上海及漢陽兵工廠
上海各機關房屋委員會,Remove
上海同德醫學院及同德醫院,上海同德醫學院及同德醫院
上海吳淞區,上海吳淞區
上海商務印書館,上海商務印書館
上海商務印書館編譯所,上海商務印書館
上海商會,上海總商會
上海商業儲蓄銀行,上海商業儲蓄銀行
上海商業儲蓄銀行小東門分行,上海商業儲蓄銀行
上海商社,上海商社
上海商科大學,上海商科大學
上海四銀行準備庫,上海四銀行準備庫
上海四馬路文報局,文報局
上海國民商業儲蓄銀行,上海國泰商業儲蓄銀行
上海國貨銀行,上海國貨銀行
上海圖書館學,Remove
上海地,Remove
上海地審廳,上海地方審判廳
上海地方,上海地方法院
上海地方協會,上海地方協會
上海地方審判廳,上海地方審判廳
上海地方檢察　委,上海地方檢察廳
上海地方檢察廳,上海地方檢察廳
上海地方檢廳,上海地方檢察廳
上海地方法院,上海地方法院
上海地方法院司法調查團,上海地方法院
上海地方法院檢察處,上海地方法院
上海地方院檢察處,上海地方檢察廳
上海地檢廳,上海地方檢察廳
上海地檢處,上海地方檢察廳
上海地院檢察處,上海地方檢察廳
上海地院檢處,上海地方檢察廳
上海城濠丈放局,上海城濠官產丈放局
上海城濠官產丈放局,上海城濠官產丈放局
上海培元堂戒烟局,培元堂戒煙局
上海大明火柴公司,上海大明火柴公司
上海大東銀行,大東銀行
上海大法公館,法總領事署
上海大清銀行,大清銀行
上海天廚味精廠,上海天廚味精廠
上海太平洋行,上海太平洋行
上海女中,上海女子中小學
上海局,Remove
上海工商業貸款審查委員會,上海工商業貸款審查委員會
"上海工業銀行
","上海工業銀行
"
上海工巡捐,上海工巡捐總局
上海工巡捐局,上海工巡捐總局
上海工巡捐總,上海工巡捐總局
上海工巡捐總局,上海工巡捐總局
上海工巡捐總局庶務處,上海工巡捐總局
上海工逞　局,上海工逞局
上海工部,工部局
上海工部局,工部局
上海巿政府,上海巿政府
上海市,Remove
上海市上海市參議會,上海市參議會
上海市中華國產廠商聯合會,中華國產廠商聯合會
上海市五圖,Remove
上海市人民政府,上海市人民政府
上海市人民法院,上海市人民法院
上海市保衛總團部,上海市保衛總團部
上海市保衞團,上海市保衞團
上海市保衞委員會,上海市保衞委員會
上海市保險商業同業公會,上海市保險商業同業公會
上海市信託商業同業公會,上海市信託商業同業公會
上海市內布織造工業同業公會,上海市內布織造工業同業公會
上海市公安兩局,公安局
上海市公安局,公安局
上海市公安局長,公安局
上海市公所,上海市公所
上海市公所工程處,上海市公所
上海市公所路政工程處,上海市公所
上海市公用局,公用局
上海市冷作業職業工會,上海市勞資仲裁委員會
上海市减低房租委員會,上海市减低房租委員會
上海市减低房租委員會閘北區整理委員會,上海市减低房租委員會
上海市减低房租會,上海市减低房租委員會
上海市勞資仲裁委員會,上海市勞資仲裁委員會
上海市勞資仲裁會,上海市勞資仲裁委員會
上海市勞資伸裁委員會,上海市勞資仲裁委員會
上海市化學原料商業同業公會,上海市化學原料商業同業公會
上海市化粧品工業同業公會,上海市化粧品工業同業公會
上海市參議員,上海市參議會
上海市參議會,上海市參議會
上海市唱機工會第一分會,上海市唱機工會
上海市商會,上海總商會
上海市商會呢絨業同業公會,上海總商會
上海市商會商務委員會,上海總商會
上海市商會監察,上海市總商會
上海市商會組織委員會,上海總商會
上海市商民協會,上海市商民協會
上海市商民協會藥業分會,上海市商民協會藥業分會
上海市商民協會藥業飲片分會,上海市商民協會藥業飲片分會
上海市商民恊會,上海市商民恊會
上海市國貨工廠聯合會,上海市國貨工廠聯合會
上海市土地局,市土地局
上海市土地局第二科,市土地局
上海市地方協會,上海地方協會
上海市審計處,上海市審計處
上海市工人福利委員會,上海市工人福利委員會
上海市工人福利委員會浦東聯絡站,上海市工人福利委員會
上海市工務局,工務局
上海市工業化學原料號業同業公會,上海市工業化學原料號業同業公會
上海市工業協會,上海市工業協會
上海市工業原料市場管理會,上海市工業原料市場管理會
上海市工業油脂業同業公會,上海市工業油脂業同業公會
上海市市民疾病醫藥助金社,市民急病醫藥助金社
上海市律師公會,上海市律師公會
上海市房地產業同業公會,上海市房地產業同業公會
上海市房客總聯合會,上海市房客總聯合會
上海市手帕織造工業同業公會,上海市手帕織造工業同業公會
上海市捲烟工人福利委員會,上海市捲煙工人福利委員會
上海市捲煙業工人福利會,上海市捲煙工人福利委員會
上海市捲菸廠工業同業公會,上海市捲煙廠工業同業公會
上海市政府,上海市政府
上海市政府·上海市參議會,市政府
上海市政府土地估價委員會,上海市政府土地估價委員會
上海市政府土地局,土地局
上海市政府工務局,上海市工務局
上海市政府新聞處,上海市政府
上海市政府會計處,上海市政府
上海市政府社會局,社會局
上海市敎育局,敎育局
上海市新藥業同業公會,上海市新藥業同業公會
上海市新閘區减但房租委員會醬園弄維新里支會,上海市新閘區减但房租委員會
上海市會計師公會,上海市會計師公會
上海市板箱作商業同業公會,上海市板箱作商業同業公會
上海市染煉工業同業公會,上海市染煉工業同業公會
上海市機器工業同業公會,上海市機器工業同業公會
上海市機器染織工業同業公會,上海市機器染織工業同業公會
上海市橡膠商業同業公會,上海市橡膠商業同業公會
上海市毛絨紡織整染工業同業公會,上海市毛絨紡織整染工業同業公會
上海市毛絨線業商業同業公會,上海市毛絨紡織整染工業同業公會
上海市民船業職業工會,上海市民船業職業工會
上海市油廠職工會第三分會,上海市油廠職工會
上海市油漆内作工會第一分會,上海市油漆内作工會
上海市油脂商業同業公會,上海市油脂商業同業公會
上海市減低房租委員會第一區第二十,上海市減低房租委員會
上海市渡船業職業工會,上海市民船業職業工會
上海市漁會,上海市漁會
上海市火柴工業同業公會,上海市火柴工業同業公會
上海市煤業公會,上海市煤業同業公會
上海市煤炭柴工會,上海市煤炭柴工會
上海市煤炭柴工會第一分會,上海市煤炭柴工會
上海市煤炭柴業工會第一分會,上海市煤炭柴工會
上海市熱水瓶工業同業公會,上海市熱水瓶工業同業公會
上海市猪案工會,上海市猪案工會
上海市猪案工會第一分會,上海市猪案工會
上海市百貨商業同業公會,上海市百貨商業同業公會
上海市磚瓦運輸業工會,上海市磚瓦運輸業職業工會
上海市磚瓦運輸業職業工會,上海市磚瓦運輸業職業工會
上海市社會局,上海市社會局
上海市社會局調解科,上海市社會局
上海市社會工作人員訓練班第一期,上海市社會工作人員訓練班
上海市禁煙委員會,上海市禁煙委員會
上海市第一特區民聯合會,上海市第一特區民聯合會
上海市第二特區市民聯合會第四區分會永裕里支會,上海市第一特區民聯合會
上海市米業職工會,上海市米業職工會
上海市米業職工會第一分會,上海市米業職工會
上海市米號商業同業公會,上海市米號商業同業公會
上海市紗廠　五分會,上海市紗廠五分會
上海市紗管工業同業公會,上海市紗管工業同業公會
上海市紙裱業同業公會　規懲戒委　審議組,上海市紙裱業同業公會
上海市經　辦事處,上海市經董辦事處
上海市總商會,上海總商會
上海市臨時參議會,上海市臨時市參議會
上海市臨時市參議會,上海市臨時市參議會
上海市興業信託社,上海市興業信託社
上海市花粉業職工會,上海市花粉業職工會
上海市花粉業職工會第一分會,上海市花粉業職工會
上海市草呢帽工業同業公會,上海市草呢帽工業同業公會
上海市華洋雜貨商業同業公會,上海市華洋雜貨商業同業公會
上海市藥業工會,上海市藥業工會
上海市藥業工會第一分會,上海市藥業工會
上海市衛生局衛生試驗所,上海市衛生局
上海市製帽業職業工會,上海市製帽業職業工會整理委員會
上海市製帽業職業工會整理委員會,上海市製帽業職業工會整理委員會
上海市襯衫工業同業公會,上海市襯衫工業同業公會
上海市調味粉工業同業公會,上海市調味粉工業同業公會
上海市警察局,上海市警察局
上海市警察局保衛團警訓所,上海市警察局
上海市警察局刑事案件分局,上海市警察局
上海市警察局刑事第二科,上海市警察局
上海市警察局刑事處,上海市警察局
上海市警察局刑事處偵緝科,上海市警察局
上海市警察局刑事處匪警局,上海市警察局
上海市警察局刑事處第,上海市警察局
上海市警察局刑事處第二科,上海市警察局
上海市警察局刑事處調查海員工會,上海市警察局
上海市警察局刑事處長寧分局,上海市警察局
上海市警察局刑事警察處,上海市警察局
上海市警察局刑事警處,上海市警察局
上海市警察局刑二科,上海市警察局
上海市警察局刑警處第,上海市警察局
上海市警察局司法處,上海市警察局
上海市警察局吳淞分局,上海市警察局
上海市警察局常熟分局,上海市警察局
上海市警察局徐匯分局,上海市警察局
上海市警察局提籃橋分局,上海市警察局
上海市警察局提籃橋分局二股,上海市警察局
上海市警察局新成分局,上海市警察局
上海市警察局新涇分局,上海市警察局
上海市警察局楊思分局,上海市警察局
上海市警察局榆林分局,上海市警察局
上海市警察局江寧分局,上海市警察局
上海市警察局江寧路分局,上海市警察局
上海市警察局洋涇分局,上海市警察局
上海市警察局盧灣分局,上海市警察局
上海市警察局督察處,上海市警察局
上海市警察局老閘分局,上海市警察局
上海市警察局虹口分局,上海市警察局
上海市警察局虹口分局二股刑事組,上海市警察局
上海市警察局行政處,上海市警察局
上海市警察局警局機動大隊,上海市警察局
上海市警察局邑廟分局,上海市警察局
上海市警察局閘北警察分局,上海市警察局
上海市警察局靜安分局,上海市警察局
