Institution_Srce,Institution_Strd
山東幫,山東幫
山東撫院,山東撫院
山東江西籌賑公所,山東江西籌賑公所
山東河工,Remove
山東華德顏料公司,山東華德顏料公司
山東製造局,山東製造局
山東道,Remove
山東飯,Remove
山東饅頭店,山東饅頭店
山海關,Remove
山縣衙門,山縣衙門
山西俄伯林大學,山西俄伯林大學
山西公昇慶,Remove
山西司,Remove
山西客帮,Remove
山西會,山西會館
山西省省長及督軍公署,山西省省長及督軍公署
山貨行,Remove
山陰縣署,山陰縣署
岑宮,Remove
岫岩廳,Remove
岱鹽,Remove
岳王市,Remove
峻德,Remove
崇亨,Remove
崇右庭,Remove
崇善堂,崇善堂
崇寗多福,Remove
崇川驪睡軒,Remove
崇德,Remove
崇德　店,Remove
崇恕堂,崇恕堂
崇文,Remove
崇明地檢署,崇明地檢署
崇本堂,Remove
崇正書院,崇正書院
崇海司,Remove
崇福,Remove
崇福里派,Remove
崇讓堂,崇讓堂
崑和綢,Remove
崑山,Remove
崑山崇善堂,崑山崇善堂
崑曲班,Remove
崑班,Remove
崗巡,Remove
嵊縣下王,Remove
嵩山分局,嵩山分局
嵩山警分局,嵩山警分局
嵩山警分局司法股,嵩山警分局
嵩山警察分局,嵩山警分局
嵩山警局,嵩山警分局
嵩山路分局,嵩山警分局
嵩靈,Remove
嶽廟鄉勇局,嶽廟鄉勇局
川前建,Remove
川味香,Remove
川嘉寳五邑醬業,Remove
川局,Remove
川帮,Remove
川幫,Remove
川松公路局,川松公路局
川沙協大花衣,Remove
川沙廳,川沙廳
川沙廳境,川沙廳
川沙廳調署英會審分府,英界會審公廨
川沙航,Remove
川漢,Remove
川督,Remove
州厦防分府,州厦防分府
州大清銀行,大清銀行
州府,Remove
州賑所,Remove
工　局,工部局
工一,Remove
工人忠救軍第五支隊第一大隊,工人忠救軍第五支隊
工份處,Remove
工務,Remove
工務，,Remove
工務公安,Remove
工務局,上海市工務局
工務局機料處,工務局機料處
工務局第五管理處,工務局
工務局長,工務局
工務處長,工務處
工商部,工商部
工報局,工報局
工塲,Remove
工局,Remove
工帮,Remove
工整會,工會整理委員會
工會統一委員會,工會統一委員會
工會統一會,工會統一委員會
工業議,Remove
工民機器製造廠,工民機器製造廠
工洋,Remove
工稈處,Remove
工程,工程局
工程局,工程局
工程局西區河工分局,工程局
工程局警務處,工程局
工義局,工義局
工聯,Remove
工華,Remove
工賑局,工賑局
工巡,Remove
工巡　總局,工巡捐局
工巡局,工巡捐局
工巡捐,工巡捐局
工巡捐局,工巡捐局
工巡捐局巿公所,工巡捐局
工巡捐局路政處,工巡捐局
工巡捐局長,工巡捐局
工巡捐總局,工巡捐局
工巡損局,工巡捐局
工部,工部
工部局,工部局
工部局　燈,工部局
工部局兒童保障利,工部局
工部局兒童保障科,工部局
工部局公董局,工部局
工部局刑事科,工部局刑事檢查科
工部局宰牛公司,工部局
工部局工業社會處,工部局工業社會處
工部局工業科,工部局工業社會處
工部局工程處,工部局
工部局度量衡處,工部局
工部局情報處,工部局
工部局捐務處,工部局
工部局政治部,工部局
工部局水公司,工部局
工部局法律部,工部局
工部局物價調查處,工部局
工部局稅制委員會,工部局
工部局米糧管理會,工部局
工部局納稅華人會,工部局
工部局聶中丞學校,工部局
工部局華人敎育處,工部局
工部局董事,工部局
工部局董事會,工部局
工部局衛生處,工部局
工部局衞生處,工部局
工部局西人好司,工部局
工部局警務處,工部局
工部局車務處,工部局
工部局巡捕房,工部局巡捕房
工部局醫院,工部局
工部局雷氣委員會,工部局
工部局電氣公司,工部局
工部局電氣處,工部局
工部局電燈公司,工部局
工部局電燈處,工部局
工部届警務處,工部局
工部書信館,工部書信館
工部木廠,工部木廠
左部局,工部局
巨元莊,Remove
巨源莊,巨源莊
巨爾法,Remove
巨籟,Remove
巨豐莊,巨豐莊
巨豐錢莊,巨豐錢莊
差福,Remove
己革水師營,水師營
已閉合衆交易所,Remove
已革保衛團團,保衛團
巳革保衛團,保衛團
巳飭練軍前營,練軍前營
巴西公館,巴西公館
巴黎,Remove
巴黎化粧品廠,巴黎化粧品廠
巴黎電音,Remove
巷成衣店,巷成衣店
巾央機關,中央機關
巾央銀行,中央銀行
巾民訓會,中民訓會
巿公安局,公安局
巿公安局第,公安局
巿公所,巿公所
巿公所路政處,巿公所
巿公用局,公用局
巿土地局,土地局
巿學務處,學務處
巿工務局,工務局
巿府,巿政府
巿敎育局,敎育局
巿禎,Remove
巿議會辦事,巿議事會
市一,Remove
市中大　衛館,Remove
市公公安局長,公安局
市公務局,公務局
市公安局,公安局
市公安局一區二所,公安局
市公安局三區二分所,公安局
市公安局二科,公安局
市公安局偵緝隊,公安局
市公安局外事股檢查護照處,公安局
市公安局第三科,公安局
市公安局西門分局,公安局
市公安局長,公安局
市公安局限令偵緝隊,公安局
市公安局飭警所,公安局
市公安總局,公安局
市公用局,上海市公用局
市參事會,上海市參事會
市參會,市參事會
市參會公用小組委員會,市參事會
市參議會,上海市參議會
市參議會　財政自治兩委員會,市參議會
市參議會審計,市參議會
市參議會第二小組財政委員會,市參議會
市參議會都市計劃委員會,市參議會
市和,Remove
市商,Remove
市商會,上海總商會
市土地局,上海市土地局
市地政,地政局
市地政局,地政局
市地政局長,地政局
市孚,Remove
市安局,公安局
市工務局,工務局
市府,上海市政府
市府令,Remove
市府參事室,市政府
市府地政局,地政局
市府外事室,上海市工務局
市府工務局,上海市工務局
市府市政,市政府
市府會計處,市政府
市府校,Remove
市府社會局,社會局
市府總務處長,市政府
市府訓,Remove
市建設局,建設局
市政,市政府
市政府,上海市政府
市政府市黨部,市政府
市政府社會局,社會局
市政府秘書,市政府
市政府第二科,市政府
市政府財政局,財政局
市政府農工商局,農工商局
市政廳,上海市政廳
市政廳工程部路政處,市政廳
市政廳市民公會,市政廳
市政廳裁判所,市政廳
市政廳長,市政廳
市政曾,市政會
市敎局,敎育局
市敎育局,敎育局
市敎育局長,敎育局
市教育局,敎育局
市會,Remove
市民聯合會,市民聯合會
市民聯合會第二區分會,市民聯合會
市民聯合會第二十五分會,市民聯合會
市珠寶業同業公會,珠寶業同業公會
市當局,Remove
市盆湯弄絲業會,市盆湯弄絲業會館
市盆湯弄絲業會館,上海北巿絲業會館
市社會局,社會局
市社會局長,社會局
市立歷史,Remove
市立第二傳染病醫院,上海市立第二傳染病醫院
市立第五醫院,上海市立第五醫院
市糧食局,糧食局
市絲邊業工會,市絲邊業工會
市絲邊業工會第三分會,市絲邊業工會
市聯二十五分會,市聯總會
市聯會,市聯總會
市聯總會,市聯總會
市衛生局,衛生局
市警察局,上海市警察局
市警察局經濟科經濟大隊,警察局
市警局,上海市警察局
市警局統計室,警察局
市警局經警大隊,警察局
市警局訓練所,上海市警察局
市財政局,上海市財政局
市足,Remove
市鉛印工業同業公會,鉛印工業同業公會
市黨,市黨部
市黨部,上海市黨部
布店,Remove
布抄莊,Remove
布政,Remove
布政使司,布政使司
布政司,布政使司
布莊,Remove
希佛輪船,Remove
希貴署,Remove
師善堂,師善堂
師投法公堂,法公堂
師蘧,Remove
師行,Remove
席團,Remove
帶堂,Remove
常務,Remove
常局,Remove
常山局,常山局
常州,Remove
常州中丞,Remove
常州保嬰局,常州保嬰局
常州營右軍,Remove
常帮,Remove
常平倉,Remove
常德帮,Remove
常昭,Remove
常昭　業公所,Remove
常昭凝善堂,常昭凝善堂
常熟,Remove
常熟凝善堂,常熟凝善堂
常熟分局,常熟分局
常達公司,常達公司
常錫帮,Remove
常關,Remove
帽子店,Remove
干成大木,Remove
平公堂,Remove
平剌史公館,Remove
平和洋行,平和洋行
平和行,平和洋行
平和行束,Remove
平坑,Remove
平定部隊,平定部隊
平康里,Remove
平康里恆濟局,恆濟戒煙局
平康里恒濟局,恆濟戒烟局
平林,Remove
平林店,平林店
平民醫院,平民醫院
平治門,Remove
平泉礦務,Remove
平湖洋行,平湖洋行
平湖班,Remove
平湖稅處長,平湖稅處
平湖縣捕役協同差捕,平湖縣捕
平準公司,平準公司
平總,Remove
平總巡年英公堂,英界會審公廨
平陽堂,平陽堂
平陽蒲門司,平陽蒲門司
年會,Remove
幸慶軍營務處,幸慶軍營務處
店員總會,店員總聨合會
店員總聨合會,店員總聨合會
店總聯合會,店員總聨合會
庚午科分校,庚午科分校
府宗,Remove
府志局,Remove
府憲,Remove
府明府,Remove
府牌,Remove
府經,Remove
府經廳,Remove
府署,Remove
府院,Remove
府黨,Remove
度支部,Remove
度日會,Remove
度朋嘉,Remove
座湖社,Remove
庭春茶,Remove
庶康,Remove
康元五彩花鐵印刷製罐廠,康元五彩花鐵印刷製罐廠
康元製罐廠,康元製罐廠
康定路派出所,康定路派出所
康復康,Remove
康怡大,Remove
康林記內,Remove
康樂,Remove
康樂菸廠,康樂菸廠
康泰恆,Remove
康洋,Remove
康洋貨,Remove
康燕梳公司,康燕梳公司
康發,Remove
康盈,Remove
康莊,Remove
康阜豐,Remove
廈道,Remove
廈門厘捐總局,廈門釐捐總局
廈門商業銀行控福寗,廈門商業銀行
廈門洋藥局,廈門洋藥局
廈門積善社協賑所,廈門積善社協賑所
廈門署,廈門署
廈門電話公司,廈門電話公司
廉州,Remove
廠商聯合會,中華國產廠商聯合會
廣　公所,廣肇公所
廣　綢莊,Remove
廣人集,Remove
廣仁,Remove
廣仁信,Remove
廣仁醫院西醫院,廣仁醫院
廣來發號,Remove
廣信府,Remove
廣信營廣豐汎,Remove
廣信誠,Remove
廣信隆,Remove
廣儲司,Remove
廣利,Remove
廣勤堂,Remove
廣匠公所,廣匠公所
廣協順,Remove
廣合和,Remove
廣同,Remove
廣和,Remove
廣和洋,Remove
廣和紙號,廣和紙號
廣報局,廣報局
廣大庄,Remove
廣大米,Remove
廣宇,Remove
廣安,Remove
廣安彩票,Remove
廣州國民政府,廣州國民政府
廣州省長公署統計科,廣州省長公署
廣帮,Remove
廣幫,Remove
廣德,Remove
廣德隆,Remove
廣德隆煙膏,Remove
廣徽,Remove
廣怡,Remove
廣怡隆,Remove
廣怡隆本,Remove
廣恆豐烟館,廣恆豐煙館
廣恒豐烟館,廣恆豐烟館
廣悅來,Remove
廣悅來濬寳源,Remove
廣成,Remove
廣成昌烟膏,Remove
廣成昌烟間,Remove
廣成祥烟膏,Remove
廣振盛烟飩,廣振盛煙飩
廣揚聲,Remove
廣新銀業公司,廣新銀業公司
廣方會館,廣方會館
廣方言館,廣方言館
廣方言館  味道館,廣方言館
廣昇祥襪廠,廣昇祥襪廠
廣昌,Remove
廣昌丸藥,廣昌丸藥店
廣昌烟膏,廣昌煙膏店
廣智,Remove
廣東,Remove
廣東　　　　　　　　　　　　　　　　　　　　　　　　　堂,廣東堂
廣東丸藥店,廣東丸藥店
廣東協綸堂絲商所,廣東協綸堂絲商所
廣東司,Remove
廣東同文館,廣東同文館
廣東土絲行協綸堂,廣東土絲行協綸堂
廣東學政,Remove
廣東愛肓堂,廣東愛育堂
廣東愛育善堂,廣東愛育堂
廣東旅滬同鄕會,廣東旅滬同鄕會
廣東木匠店,廣東木匠店
廣東甘竹冠益食品廠,廣東甘竹冠益食品廠
廣東省城廣報館,廣東省城廣報館
廣東藥,Remove
廣東詹誠德堂,廣東詹誠德堂
廣東財政廳,廣東財政廳
廣東銀行,廣東銀行
廣東銀行廣州分行,廣東銀行
廣東陸路提,Remove
廣東電局,廣東電局
廣森昌洋行,廣森昌洋行
廣森祥洋貨,Remove
廣榮興廣,Remove
廣樂居,Remove
廣永興,Remove
廣泰,Remove
廣泰來,Remove
廣泰和烟,Remove
廣泰庄,Remove
廣泰森碗,Remove
廣泰烟膏,Remove
廣泰祥,Remove
廣源,Remove
廣源所,Remove
廣源銀樓,廣源銀樓
廣潮幫,廣潮幫
廣濟,Remove
廣濟公,廣濟公司
廣生,Remove
廣生祥派利,Remove
廣生行,Remove
廣生雜貨,Remove
廣發,Remove
廣發興,Remove
廣益,Remove
廣益印書館,廣益印書館
廣益善堂,廣益善堂
廣益堂,廣益善堂
廣益館,廣益館
廣祥,Remove
廣祥合,Remove
廣福寺,Remove
廣福寺粥廠,廣福寺粥廠
廣福誠,Remove
廣萬源,Remove
廣義興,Remove
廣義興烟館,廣義興煙館
廣聚昌烟膏,Remove
廣聚源,Remove
廣聚源廣貨店,廣聚源廣貨店
廣聚興,Remove
廣聚麥子,Remove
廣肇,Remove
廣肇公,廣肇公所
廣肇公學,廣肇公學
廣肇公所,廣肇公所
廣肇公所整理委員會,廣肇公所
廣肇女學及廣肇義學,廣肇女學及廣肇義學
廣肇會館,廣肇公所
廣興,Remove
廣興司,Remove
廣興和雜貨店,廣興和雜貨店
廣英隆店,廣英隆店
廣華,Remove
廣裕,Remove
廣裕興烟館,廣裕興煙館
廣裕豐,Remove
廣裕隆,Remove
廣西,Remove
廣西　州電報局,廣西梧州電報局
廣西司,Remove
廣西梧州電局,廣西梧州電報局
廣見堂,Remove
廣豐泰烟館,廣豐泰煙館
廣豐洋行,廣豐洋行
廣豐盛,廣豐盛煙館
廣豐盛煙館,廣豐盛煙館
廣貨,Remove
廣陵,Remove
廣隆,Remove
廣雅書院,廣雅書院
廣雅監院,廣雅監院
廣順生蔴袋店,廣順生蔴袋店
廨博,Remove
廬州帮,Remove
龐子谷,Remove
廳發科,Remove
廳長,Remove
廵防局,廵防局
延壽,Remove
延大莊,Remove
延孚錢庄,延孚錢庄
延平協,Remove
延平府,延平府
延康,Remove
延康魚行,延康魚行
延敦,Remove
延昌洋行,延昌洋行
延桂軒,Remove
延海司,Remove
延源,Remove
延牛門,Remove
延生庄,Remove
延豐荳麥,Remove
廷陽科,Remove
建亭,Remove
建元興業公司,建元興業公司
建國文化社,建國文化社
建安銀公司,建安銀公司
建寍府局,建寧府
建寍電報局,建寧電報局
建局,Remove
建帮,Remove
建幫,Remove
建幫董事會同理,Remove
建廠,Remove
建廣帮,Remove
建廳,Remove
建成廣播電台,Remove
建新航業公司,建新航業公司
建業,Remove
建甌帮,Remove
建築科,Remove
建華日報社,建華日報社
建設委員會,建設委員會
建設局,建設局
建設局長,建設局
建設廳長,建設廳
廿七鋪巡防局,南市廿七鋪巡防局
廿三鋪,Remove
开募修養堂,开募修養堂
弄口炒麵,Remove
弄絲帶,Remove
式器,Remove
引翔,Remove
引翔港,Remove
張元春,Remove
張元春木　店,Remove
張光裕堂,Remove
張利昌鋼鐵廠,張利昌鋼鐵廠
張守府,Remove
張宏泰,Remove
張希賢堂,Remove
張懋昇,Remove
張所,Remove
張明府,Remove
張永,Remove
張永隆,Remove
張生昌皮鞋,Remove
張生泰,Remove
張祥豐糖,Remove
張萬千,Remove
張萬源銀匠,Remove
張萬盛地貨,Remove
張萬興米,張萬興米店
張興米,Remove
張華浜,Remove
張華浜輪船營務處,張華浜輪船營務處
張華烟,Remove
張邑尊升堂,Remove
張部,Remove
張順　翻鞋,Remove
張順興,Remove
强君,Remove
强恕山莊,Remove
强生,Remove
强華,Remove
彈染,Remove
彌羅洋行,彌羅洋行
彚吉洋行,彚吉洋行
彚泰,Remove
彛叙堂,Remove
彩印工業同業公會,彩印工業同業公會
彩視,Remove
彩衣街,Remove
彩雲閣,Remove
彭宫,Remove
彭浦束,Remove
彭琴宮,彭雪琴宮
彭福記萃記店,彭福記萃記店
彭誠　堂,Remove
彭誠濟堂,Remove
彰盛德,Remove
彼業中,Remove
待鶴,Remove
律師,Remove
律師　堂,Remove
律師投法公堂,法公堂
律師申報館,申報館
律師經租部,Remove
律師處,Remove
後勤部,後勤部
後天当法領事署,法總領事署
後宜古齋古玩,Remove
後救濟總署,後救濟總署
後泥窪戶部四川司,戶部四川司
後美紅會中國救濟事,Remove
徐家匯,Remove
徐家匯堂,徐家匯堂
徐家彙分局,徐家彙分局
徐家彙區衛生事務所,徐家彙區衛生事務所
徐家滙,Remove
徐小邨,Remove
徐州,Remove
徐州學生會,徐州學生聨合會
徐州府學,Remove
徐廳,Remove
徐德堂,Remove
徐恆盛米店,徐恆盛米店
徐恒盛米店,徐恆盛米店
徐慶昌首飾,Remove
徐照　茶食,Remove
徐發記,Remove
徐盛米,Remove
徐盛興銅錫,Remove
徐萬興鐵店,徐萬興鐵店
徐行,Remove
徐警,Remove
徐阿大,Remove
得　華電影公司,華電影公司
得利洋行,得利洋行
得意,Remove
得記,Remove
從儉齋,Remove
從興酒店,從興酒店
復來祥,Remove
復光,Remove
復利車行,Remove
復升堂,Remove
復和祥,Remove
復康洋酒,Remove
復慶祥元孚長,Remove
復成昶,Remove
復新園酒館,Remove
復旦,Remove
復旦大學,復旦大學
復旦大學圖書館,復旦大學
復昇洋行,復昇洋行
復昌,Remove
復昌祥呢絨號,復昌祥呢絨號
復核辦,Remove
復泰,Remove
復泰客棧,復泰客棧
復泰棧,Remove
復源司,Remove
復源盛,Remove
復源絲線,Remove
復生洋行,復生洋行
復糾黨,Remove
復續灣,Remove
復興外國成衣店,復興外國成衣店
復興愼,Remove
復興會,Remove
復興盛,Remove
復興茶園,復興茶園
復興醃魚庄,復興醃魚庄
復興雜貨,Remove
復茂恒鎭江電報局内籌賑公所,鎭江電報局内籌賑公所
復茂海味,Remove
復華,Remove
復過府,Remove
復長順,Remove
復順,Remove
循環日報,循環日報
徴康小錢莊,徴康錢莊
徵康錢,徴康錢莊
徵康錢莊,徴康錢莊
德僑管理委員會,德僑管理委員會
德利,Remove
德利永芳,Remove
德化,Remove
德化縣學附,Remove
德化縣正,Remove
德化縣鍾明府厘金局,德化縣鍾明府釐金局
德升恒,Remove
德原,Remove
德合,Remove
德君,Remove
德和,Remove
德和公記靛靑號,德和公記靛靑號
德和油,Remove
德和洋行,德和洋行
德和洋行東投英總領事署,英總領事署
德和行,德和洋行
德和裱,Remove
德和輪船,Remove
德商,Remove
德商信利洋行,信利洋行
德商信通洋行,信通洋行
德商地,Remove
德商天福洋行,天福洋行
德商愛理司洋行,德商愛理司洋行
德商泰來洋行,泰來洋行
德商瑞嘉　行,德商瑞生洋行
德商美最時洋行進口大班,德商美最時洋行
德商順全隆洋行,順全隆洋行
德國,Remove
德國團,Remove
德國忌理士公司,德國忌理士公司
德國穆領事會,德國領事署
德國輪船公司,德國輪船公司
德國領事公館,德國領事館
德國領事稅務,德國領事館
德國領事署,德國領事館
德國領事衙內,德國領事館
德國領事館,德國領事館
德國駐高總領事署,德國領事館
德堂,Remove
德士古洋行,德士古洋行
德壽,Remove
德壽菴,Remove
德大,Remove
德大佛爾克,德大佛爾克
德大恊記牛,Remove
德大昌,Remove
德大洋貨,Remove
德大烟膏,Remove
德大牛肉,Remove
德大生烟店,德大生煙店
德大祥,Remove
德大茶葉,Remove
德大莊,Remove
德大號,Remove
德大錢,Remove
德大錢莊,德大錢莊
德大馬車,Remove
德太來,Remove
德孚,Remove
德孚洋行,德孚洋行
德安府,德安府
德密特君,Remove
德師,Remove
德康,Remove
德康莊,Remove
德律風,德律風公司
德律風公司,德律風公司
德律風洋行,德律風公司
德律風知照大巡捕房,大巡捕房
德意志領事署,德意志領事署
德愼所,Remove
德成,Remove
德成押,德成押鋪
德成押鋪,德成押鋪
德政,Remove
德昌,Remove
德昌厚錢局,德昌厚錢局
德昌參店,德昌參店
德昌外國銀匠,Remove
德昌富,Remove
德昌小雜貨,Remove
德昌樵,Remove
德昌煤炭,德昌煤號
德昌雜貨兼米鋪,德昌雜貨兼米鋪
德昌雜貨鋪,德昌雜貨鋪
德昌顔料,Remove
德明里源,Remove
德星,Remove
德春棧,Remove
德春錢店,德春錢店
德昶,Remove
德昶潤,德昶潤號
德昶潤顔料,德昶潤號
德昶皮鞋,德昶皮鞋店
德榮華莊,德榮華莊
德正幫,德正幫
德泉樓,Remove
德泰,Remove
德泰久,Remove
德泰和,Remove
德泰恒花,Remove
德泰昌,Remove
德泰榮洋貨,Remove
德泰洋人,Remove
德泰烟膏,Remove
德泰煤炭店,德泰煤炭店
德泰花糖行,德泰花糖行
德泰莊,Remove
德泰開,Remove
德源,Remove
德源商,Remove
德源祥廣貨店,德源祥廣貨店
德源茂,Remove
德生,Remove
德生剪刀,Remove
德盛,Remove
德盛厚生,Remove
德盛昌,Remove
德盛祥,Remove
德祥,Remove
德祥洋貨,德祥洋貨號
德程洋行,德程洋行
德總,Remove
德總領事署,德國領事署
德署,德總領事館
德聚成鞋,Remove
德聚隆,Remove
德聚隆桂圓,Remove
德興,Remove
德興南貨店,德興南貨店
德興士行,德興洋行
德興洋行,德興洋行
德興瑞,Remove
德興祥,Remove
德興竹器,德興竹器店
德興粥,Remove
德興舊衣店,德興舊衣店
德興豆腐,Remove
德興輪船,Remove
德興銀樓,德興銀樓
德茂,Remove
德茂洋廣貨,德茂洋廣貨
德華,Remove
德華行,德華銀行
德行,Remove
德裕,Remove
德裕莊,德裕錢莊
德裕錢莊,德裕錢莊
德記,Remove
德記洋,德記洋行
德記洋行,德記洋行
德記洋行羊毛人造絲部絨線雜貨部,德記洋行羊毛人造絲部絨線雜貨部
德豐,Remove
德豐　　隆茂洋行,隆茂洋行
德豐客棧,德豐客棧
德豐水菓行,德豐水菓行
德豐洋有,Remove
德豐洋行,德豐洋行
德豐漆,Remove
德豐祥,Remove
德輪,Remove
德巡,Remove
德錢,Remove
德錩錢莊,德錩錢莊
德陞齋,Remove
德陞齋圭,Remove
德隆,Remove
德隆廠,Remove
德隆彰水烟,Remove
德隆賬簿,Remove
德順,Remove
德順仁東洋莊,德順仁東洋莊
德順里籌備,Remove
德領事署,德國領事署
德馨泰,Remove
德高洋,德高洋行
徹會館,Remove
徽寍道雙觀察,徽寧道
徽寗,Remove
徽州人處幫工會,徽州人處幫工會
徽州會館,徽州會館
徽帮,Remove
徽帮占,Remove
徽帮派,Remove
徽幫,Remove
心齋,Remove
必得呂宋票,Remove
必得誠,Remove
志仁書畫社,志仁書畫社
志同營造廠,志同營造廠
志大,Remove
志大烟土,Remove
志大烟膏,Remove
志慎灰,Remove
志成,Remove
志昌祥報關行,志昌祥報關行
志泰鐵,Remove
志裕錢莊,志裕錢莊
志達烟紙,Remove
志遠堂,志遠堂
忠和棧,忠和棧
忠義局,忠義局
忠貞堂,忠貞堂
快利,Remove
快得利,Remove
快頭,Remove
念三舗巡防局,南市念三舗巡防局
念劬堂,念劬堂
忻康里肉攤,Remove
忿弄絲業曾,Remove
怛裕藥店,怛裕藥店
思恭堂,思恭堂
思誠堂,思誠堂
怡　昌信局,怡和昌信局
怡和,Remove
怡和·太古·大英·昌興·實和·馬勒,Remove
怡和仁比鄰,Remove
怡和仁行,怡和公司
怡和利,Remove
怡和太古,Remove
怡和打包廠,怡和打包廠
怡和昌信局,怡和昌信局
怡和栈,怡和洋行
怡和棧,怡和洋行
怡和棧　店,怡和棧　店
怡和棧務,Remove
怡和洋,怡和洋行
怡和洋行,怡和洋行
怡和洋行繅絲棧,怡和洋行
怡和洋行軍裝處,怡和洋行
怡和爾,Remove
怡和碼頭,Remove
怡和紗廠,怡和紡紗廠
怡和興,Remove
怡和行,怡和洋行
怡園烟膏,Remove
怡大,Remove
怡大煤炭,Remove
怡德堂,怡德堂
怡怡堂,Remove
怡怡居　　書屋,Remove
怡成,Remove
怡打包廠,怡和打包廠
怡啟,Remove
怡昌,Remove
怡昌恆,Remove
怡昌行,怡昌車行
怡泰,Remove
怡泰興,Remove
怡泰興洋貨,Remove
怡生厚,怡生厚錢莊
怡益隆,怡益隆雜貨行
怡盛公益,Remove
怡盛昌,Remove
怡盛洋貨鋪,怡盛洋貨鋪
怡興隆棧,Remove
怡記,Remove
怡豐,Remove
怡豐化工廠,怡豐化工廠
怡豐洋貨,Remove
怡隆,Remove
怡隆昌機,Remove
怡隆雜貨,Remove
怡香,Remove
怯公堂,Remove
恆乾仁布號,恆乾仁布號
恆信洋行,恆信洋行
恆信盛紗線號,恆信盛紗線號
恆元,Remove
恆元莊,恆元錢莊
恆元錢莊,恆元錢莊
恆利信局,恆利信局
恆利公司,恆利公司
恆利銀行,恆利銀行
恆升義,Remove
恆合祥,Remove
恆和泰,Remove
恆和糟,Remove
恆大,Remove
恆大新記紡織公司,恆大紡織公司
恆大紗廠,恆大紗廠
恆大紗廠 恆大紗廠,恆大紡織公司
恆大紡織公司,恆大紡織公司
恆孚,Remove
恆孚印染廠,恆孚印染廠
恆巽錢莊,恆巽錢莊
恆康錢莊,恆康錢莊
恆德,Remove
恆德典,恆德典
恆德南貨店,恆德南貨店
恆德莊,恆德錢莊
恆德裕,Remove
恆德錢莊,恆德錢莊
恆新煤業公司,恆新煤業公司
恆新股份兩合公司,恆新股份兩合公司
恆昌鉄工廠,恆昌鉄工廠
恆昌鐵廠,恆昌鐵廠
恆昌鐵廠琴通紗廠,恆昌鐵廠琴通紗廠
恆泰,Remove
恆泰昌,Remove
恆洋行,Remove
恆源,Remove
恆源泰,Remove
恆源洋貨店,恆源洋貨店
"恆源祥公記絨線號
",恆源祥公記毛絨號
恆濟　局,Remove
恆濟局,恆濟戒煙局
恆濟戒烟局,恆濟戒煙局
恆生茶,Remove
恆生錢莊,恆生錢莊
恆盛,Remove
恆盛綢莊,恆盛綢莊
恆祥油麻,Remove
恆福,Remove
恆義昇兩合公司,恆義昇兩合公司
恆義昇百貨商店,恆義昇百貨商店
恆義昇襪衫廠,恆義昇襪衫廠
恆興祥,Remove
恆興祥京廣貨店,恆興祥京廣貨店
恆興祥洋廣貨店,恆興祥洋廣貨店
恆興鷄毛,Remove
恆茂,Remove
恆茂布莊,恆茂布莊
恆茂綢莊,恆茂綢莊
恆裕,Remove
恆裕昌,Remove
恆裕昌洋廣貨,恆裕昌洋廣貨
恆裕豐,Remove
恆記,Remove
恆豐,Remove
恆豐印染廠,恆豐印染廠
恆豐昌,Remove
恆豐昌洋貨鋪,恆豐昌洋貨鋪
恆豐泰,Remove
恆豐泰店,恆豐泰店
恆豐米,恆豐米店
恆豐紗廠,恆豐印染廠
恆豐紡織新局,恆豐紡織新局
恆豐錢庄,恆豐錢庄
恆豐順信局,恆豐順信局
恆豫,Remove
恆通紗廠,恆通紗廠
恆道紡織公司,恆道紡織公司
恆達印鐵製罐廠,恆達印鐵製罐廠
恆隆煙店,恆隆煙店
恆順米,Remove
恊和昇,Remove
恊和祥,Remove
恊慎祥,Remove
恊成乾,Remove
恊成豐,Remove
恊泰行,Remove
恊源南貨店,恊源南貨店
恊源永,Remove
恊盛,Remove
恊興,Remove
恊興客棧,恊興客棧
恊興昌,Remove
恊英會,Remove
恊茂,Remove
恊記,Remove
恊賑,Remove
恊運局,恊運局
恊隆,Remove
恊隆洋行,恊隆洋行
恒來,Remove
恒信源,Remove
恒元,Remove
恒元莊,恆元錢莊
恒元錢莊,恆元錢莊
恒利,Remove
恒利信局,恆利信局
恒利洽記,Remove
恒升義,Remove
恒合祥,Remove
恒吉,Remove
恒和,Remove
恒和小酒,Remove
恒和泰,Remove
恒和祥,Remove
恒和糟,Remove
恒壽,Remove
恒大,Remove
恒大　行,Remove
恒大信,Remove
恒大成,Remove
恒大新記紡織公司,恆大紡織公司
恒大汽車,Remove
恒大泰昌,Remove
恒大洋貨,Remove
恒大萬隆,Remove
恒大萬隆德盛公義盛,Remove
恒大紗廠 恒大紗廠,恆大紡織公司
恒大紡織公司,恆大紡織公司
恒天申福,Remove
恒太,Remove
恒孚,Remove
恒孚洋貨,Remove
恒安,Remove
恒康,Remove
恒康匯康,Remove
恒康碾米,Remove
恒康祥,Remove
恒康米,Remove
恒康莊,恒康錢莊
恒康錢莊,恆康錢莊
恒德,Remove
恒德南貨店,恆德南貨店
恒德廣貨,Remove
恒德染,Remove
恒德莊,Remove
恒德裕,Remove
恒德錢莊,恆德錢莊
恒愼,Remove
恒昌,Remove
恒昌培記,Remove
恒昌山貨,Remove
恒昌怡記,Remove
恒昌泰,Remove
恒泰,Remove
恒泰報關,恒泰報
恒泰昌雜貨,Remove
恒泰烟紙,Remove
