Name_ZhT;Name_Py;Province_Py;Province_ZhT;LAT;LONG;Name_Full;Level;Year;LocID;NameID;ID;FID;Provider;
承德;Chengde;Jehol;熱河;41.02967164554;117.866867122129;承德縣;縣;1931;D3282615;N0330664;1410;s430;ENP-China Project: https://www.enpchina.eu/;
成都;Chengdu;Sichuan;四川;30.6652737199508;104.069453560098;成都縣;縣;1931;D3079790;N0329800;136;s1822;ENP-China Project: https://www.enpchina.eu/;
呈貢;Chenggong;Yunnan;雲南;24.9123019144639;102.782518128304;呈貢縣;縣;1931;D2969184;N0299793;858;s614;ENP-China Project: https://www.enpchina.eu/;
城固;Chenggu;Shaanxi;陝西;33.2318577132914;107.263677026569;城固縣;縣;1931;D3079774;N0023191;45;s1597;ENP-China Project: https://www.enpchina.eu/;
澄海;Chenghai;Guangdong;廣東;23.4810340294481;116.725774021304;澄海縣;縣;1931;D3338859;N0359684;2157;s1517;ENP-China Project: https://www.enpchina.eu/;
承化;Chenghua;Xinjiang;新疆;47.8581660438419;88.1232764801222;承化縣;縣;1931;11703665;N0415433;801;s619;ENP-China Project: https://www.enpchina.eu/;
澂江;Chengjiang;Yunnan;雲南;24.6861932025397;102.856889671879;澂江縣;縣;1931;11703754;N0415522;896;s750;ENP-China Project: https://www.enpchina.eu/;
城口;Chengkou;Sichuan;四川;31.9404443197048;108.785427524132;城口縣;縣;1931;D3384072-1;D3384073-4;449;s1336;ENP-China Project: https://www.enpchina.eu/;
澄邁;Chengmai;Guangdong;廣東;19.7764846513055;109.964927413798;澄邁縣;縣;1931;D3014510;N0359703;2578;s946;ENP-China Project: https://www.enpchina.eu/;
城武;Chengwu;Shandong;山東;34.9853676961323;115.96015578094;城武縣;縣;1931;11703553;N0415321;2548;s1310;ENP-China Project: https://www.enpchina.eu/;
成縣;Chengxian;Gansu;甘肅;33.7594744138939;105.584479705973;成縣;縣;1931;D3313216;N0329746;334;s1113;ENP-China Project: https://www.enpchina.eu/;
陳畱;Chenliu;Henan;河南;34.6825852479598;114.528049342985;陳畱縣;縣;1931;11703904;N0415672;1912;s1876;ENP-China Project: https://www.enpchina.eu/;
沈丘;Chenqiu;Henan;河南;33.1859256859699;115.229193793628;沈丘縣;縣;1931;DH047173-1;DH163702-1;1916;s1872;ENP-China Project: https://www.enpchina.eu/;
辰谿;Chenxi;Hunan;湖南;27.9972778903542;110.127225713813;晨谿縣;縣;1931;11703858;N0415626;1779;s261;ENP-China Project: https://www.enpchina.eu/;
郴縣;Chenxian;Hunan;湖南;25.7937587968954;112.9875300328;郴縣;縣;1931;11703870;N0415638;2630;s815;ENP-China Project: https://www.enpchina.eu/;
赤城;Chicheng;Chahaer;察哈爾;40.9473591109702;115.927016235093;赤城縣;縣;1931;D3075105;N0391972;307;s1188;ENP-China Project: https://www.enpchina.eu/;
赤峰;Chifeng;Jehol;熱河;42.3120392223184;118.992104599504;赤峰縣;縣;1931;D2977202;N0392026;1313;s358;ENP-China Project: https://www.enpchina.eu/;
茌平;Chiping;Shandong;山東;36.5942419817037;116.254804589022;茌平縣;縣;1931;D3303655;N0383112;2261;s1747;ENP-China Project: https://www.enpchina.eu/;
赤水;Chishui;Guizhou;貴州;28.4771667820674;105.609177201457;赤水縣;縣;1931;DH054905-1;DH229698-1;64;s1563;ENP-China Project: https://www.enpchina.eu/;
赤溪;Chixi;Guangdong;廣東;21.9847488903512;112.9866605401;赤溪縣;縣;1931;D3237983;N0392095;2189;s1821;ENP-China Project: https://www.enpchina.eu/;
崇安;Chongan;Fujian;福建;27.7582142744502;117.965479315394;崇安縣;縣;1931;DH011627-1;DH128156-1;2525;s1385;ENP-China Project: https://www.enpchina.eu/;
崇德;Chongde;Zhejiang;浙江;30.5532497577681;120.44267774915;崇德縣;縣;1931;11703616;N0415384;2611;s886;ENP-China Project: https://www.enpchina.eu/;
崇明;Chongming;Jiangsu;江蘇;31.6313352521616;121.418599606767;崇明縣;縣;1931;D3007552;N0322803;2599;s856;ENP-China Project: https://www.enpchina.eu/;
崇寧;Chongning;Sichuan;四川;30.9370279117837;103.829537295869;崇寧縣;縣;1931;11703615;N0415383;670;s1039;ENP-China Project: https://www.enpchina.eu/;
崇慶;Chongqing;Sichuan;四川;30.6374338564638;103.666437829459;崇慶縣;縣;1931;11703617;N0415385;676;s982;ENP-China Project: https://www.enpchina.eu/;
崇仁;Chongren;Jiangxi;江西;27.8160822995322;115.98205465851;崇仁縣;縣;1931;DH050886-1;DH167415-1;1152;s563;ENP-China Project: https://www.enpchina.eu/;
崇善;Chongshan;Guangxi;廣西;22.4377718616435;107.540178875978;崇善縣;縣;1931;DH023888-1;DH140417-1;345;s1146;ENP-China Project: https://www.enpchina.eu/;
崇信;Chongxin;Gansu;甘肅;35.2343116374774;106.866750093694;崇信縣;縣;1931;DH049241-1;DH224034-1;138;s1826;ENP-China Project: https://www.enpchina.eu/;
崇陽;Chongyang;Hubei;湖北;29.5768312052823;114.041969319648;崇陽縣;縣;1931;DH047206-1;DH163735-1;1208;s558;ENP-China Project: https://www.enpchina.eu/;
崇義;Chongyi;Jiangxi;江西;25.7922063834472;114.45456133566;崇義縣;縣;1931;D2997873;N0322756;1046;s484;ENP-China Project: https://www.enpchina.eu/;
川沙;Chuansha;Jiangsu;江蘇;31.20641613563;121.694357074139;川沙縣;縣;1931;D3154123-1;D3154122-1;2391;s1137;ENP-China Project: https://www.enpchina.eu/;
錘祥;Chuixiang;Hubei;湖北;31.153776711197;112.58322603741;錘祥縣;縣;1931;11703889;N0415657;1752;s281;ENP-China Project: https://www.enpchina.eu/;
淳安;Chunan;Zhejiang;浙江;29.6222002088714;118.950295186693;淳安縣;縣;1931;DH041956-1;DH216749-1;2431;s1090;ENP-China Project: https://www.enpchina.eu/;
淳化;Chunhua;Shaanxi;陝西;34.7952721916075;108.535716711886;淳化縣;縣;1931;D2949710;N0357126;26;s1649;ENP-China Project: https://www.enpchina.eu/;
婼羌;Chuoqiang;Xinjiang;新疆;38.9667127305878;88.0749430630496;婼羌縣;縣;1931;11703569;N0415337;773;s636;ENP-China Project: https://www.enpchina.eu/;
滁縣;Chuxian;Anhui;安徽;32.3119541966053;118.305623308374;滁縣;縣;1931;11703749;N0415517;1565;s233;ENP-China Project: https://www.enpchina.eu/;
楚雄;Chuxiong;Yunnan;雲南;25.034435989308;101.552451925156;楚雄縣;縣;1931;DH042099-1;DH042099-1;205;s1722;ENP-China Project: https://www.enpchina.eu/;
慈利;Cili;Hunan;湖南;29.4288181242265;110.976858732747;慈利縣;縣;1931;D3025242;N0329624;1217;s518;ENP-China Project: https://www.enpchina.eu/;
慈谿;Cixi;Zhejiang;浙江;29.9927954985133;121.435513712322;慈谿縣;縣;1931;11703654;N0415422;2619;s899;ENP-China Project: https://www.enpchina.eu/;
磁縣;Cixian;Hebei;河北;36.3557112447191;114.37425279549;磁縣;縣;1931;D3104553;N0371693;1581;s200;ENP-China Project: https://www.enpchina.eu/;
