Position_Srce;Sector 1;Sector 2;CSP;Position_type_1;Position_type_2;Year;Source;Comments
U.S. Commercial Attache;;;Professionals and senior executives;Expert;Commercial Attaché;1948;Rotary;
Undertaker;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Underwriter;SERVICE;FINANCE AND INSURANCE;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Unemployed;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Unstated, family dependents and minor;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Usher;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;1885-1935;Shanghai Municipal Council, Annual Report;
Vegetable vendor;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Vehicule dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Veterinarian;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Vice President;;;Professionals and senior executives;Business executive;Vice-President;1930;Rotary;
Vice-President;;;Professionals and senior executives;Business executive;Vice-President;1948;Rotary;
Watchmaker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Watchman;SERVICE;DOMESTIC SERVICES;Workers;Laborers;;1885-1935;Shanghai Municipal Council, Annual Report;
Water supply worker;INDUSTRY;PUBLIC UTILITY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Welder;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Well driller;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Wharfinger;SERVICE;SHIPPING;Workers;Seamen;;1885-1935;Shanghai Municipal Council, Annual Report;
Wine merchants;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Wireless operators;SERVICE;COMMUNICATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Woollen goods dealers;INDUSTRY;TEXTILE INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
