Position_Srce;Sector 1;Sector 2;CSP;Position_type_1;Position_type_2;Year;Source;Comments
Metal worker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Milkman;TRADE;RETAIL TRADE;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Mill and filature worker;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Mill Manager;;;Middle managers;Manager;Department manager;1940;Rotary;
Miller;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Millwright;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Miner;INDUSTRY;INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Mining engineers;INDUSTRY;MACHINERY AND METAL PRODUCTS;Professionals and senior executives;Engineers;;1885-1935;Shanghai Municipal Council, Annual Report;
Minister for Sweden;;;Professionals and senior executives;Government and administrative official;Ambassador;1940;Rotary;
Mint worker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Missionaries;MISCELLANEOUS CATEGORIES;UNDEFINED;Other categories;Clergymen;;1885-1935;Shanghai Municipal Council, Annual Report;
Moneylender;SERVICE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Municipal Employee;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Musical instruments maker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Musician;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
National Vocational Secretary;;;Professionals and senior executives;Educational executive;Secretary;1948;Rotary;
Naval and Military officer;ADMINISTRATION;GOVERNMENT;Other categories;Army and police;;1885-1935;Shanghai Municipal Council, Annual Report;
Needlemaker;INDUSTRY;MACHINERY AND METAL PRODUCTS;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Notary;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Nurse and midwife;SERVICE;DOMESTIC SERVICES;Middle managers;Medical and social service technician;;1885-1935;Shanghai Municipal Council, Annual Report;
Official (Public offices (includ. Customs));ADMINISTRATION;GOVERNMENT;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Oil and sauce dealer;TRADE;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Oil refiner;INDUSTRY;CHEMICAL INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Omnibus Co. Staff;SERVICE;TRANSPORTATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Optician;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Organist;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Ornament maker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Overseer and inspector (unclassified);SERVICE;TRANSPORTATION;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Packer;INDUSTRY;PAPER AND PRINTING;Workers;Laborers;;1885-1935;Shanghai Municipal Council, Annual Report;
Painter;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Paper articles makers;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Paper hanger;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Paper maker;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Paper merchant;TRADE;PAPER AND PRINTING;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Partner;;;Professionals and senior executives;Professional;Partner;1930;Rotary;
Partner and Manager;;;Trade and Industry Business Owners;Business owner;Partner;1940;Rotary;
Pastor;;;Professionals and senior executives;Religious official;Religious official;1937;Rotary;
Pawnbroker;TRADE;FINANCE AND INSURANCE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Pedlar;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Peking Correspondent;;;Professionals and senior executives;Professional;Journalist;1937;Rotary;
Pensioner;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Persons of independent Means;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Phonograph dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Photographer;INDUSTRY;PAPER AND PRINTING;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Physical culturist;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Piano manufacturer;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Piano tuner;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Pilot;SERVICE;SHIPPING;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Planter;AGRICULTURE AND GARDENING;AGRICULTURE AND GARDENING;Farmers and gardeners;Farmers and gardeners;;1885-1935;Shanghai Municipal Council, Annual Report;
Plaster worker;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Plumber;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Police;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Other categories;Army and police;;1885-1935;Shanghai Municipal Council, Annual Report;
Porcelain maker;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Postal worker;SERVICE;COMMUNICATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Poultry and game dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
President;;;Professionals and senior executives;Business executive;President;1948;Rotary;
Printer;INDUSTRY;PAPER AND PRINTING;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Prisoner;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Private Business;;;Trade and Industry Business Owners;Business owner;Business owner;1937;Rotary;
Private detective;SERVICE;PROFESSIONAL;Professionals and senior executives;Professors, literary and scientific professions;;1885-1935;Shanghai Municipal Council, Annual Report;
Procession equipment dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Professor;;;Professionals and senior executives;Professional;Professor;1937;Rotary;
Professor and teacher;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;1885-1935;Shanghai Municipal Council, Annual Report;
Professor of Surgery;;;Professionals and senior executives;Professional;Professor;1948;Rotary;
Professors of music;SERVICE;EDUCATION AND SCIENCE;Professionals and senior executives;Professors, literary and scientific professions;;1885-1935;Shanghai Municipal Council, Annual Report;
Proprietor;;;Trade and Industry Business Owners;Business owner;Proprietor;1930;Rotary;
Prospector;SERVICE;PROFESSIONAL;Professionals and senior executives;Engineers;;1885-1935;Shanghai Municipal Council, Annual Report;
Public companies agent;INDUSTRY;PUBLIC UTILITY;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Public health officer and worker;ADMINISTRATION;MUNICIPAL ADMINISTRATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Publisher;;;Professionals and senior executives;Professional;Publisher;1937;Rotary;
Quack;SERVICE;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Railway official;SERVICE;TRANSPORTATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Railway staff;SERVICE;TRANSPORTATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Real estate agents;SERVICE;SERVICE;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Regional Secretary;;;Professionals and senior executives;Religious official;Secretary;1937;Rotary;
Rent collector;SERVICE;SERVICE;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Representative;;;Professionals and senior executives;Business agent;Representative;1948;Rotary;
Representative, Shanghai;;;Professionals and senior executives;Business agent;Local representative;1940;Rotary;
Restaurant keeper, tea-house and bar tender;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Retired;;;Retired;Pensioneer;Pensioneer;1940;Rotary;
Ricsha puller;SERVICE;TRANSPORTATION;Workers;Laborers;;1885-1935;Shanghai Municipal Council, Annual Report;
Rink master;SERVICE;SHIPPING;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Rope maker;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Rubber goods worker;INDUSTRY;LEATHER AND RUBBER INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Saddler;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Craftsmen;;1885-1935;Shanghai Municipal Council, Annual Report;
Sales Manager;;;Middle managers;Manager;Department manager;1940;Rotary;
Salesman;TRADE;TRADE;Employees;Trade employees;;1885-1935;Shanghai Municipal Council, Annual Report;
Scalemaker;TRADE;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Sculptor;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Seaman;SERVICE;SHIPPING;Workers;Seamen;;1885-1935;Shanghai Municipal Council, Annual Report;
Second hand goods dealers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Secretary;;;Professionals and senior executives;Organization executive;Secretary;1940;Rotary;
Secretary for China;;;Professionals and senior executives;Organization executive;Local Secretary;1930;Rotary;
Secretary of clubs, etc;SERVICE;SERVICE;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Secretary-Treasurer;;;Professionals and senior executives;Business executive;Secretary;1940;Rotary;
Senior Partner;;;Professionals and senior executives;Professional;Partner;1930;Rotary;
Servant;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;1885-1935;Shanghai Municipal Council, Annual Report;
Ship agent;TRADE;SHIPPING;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Ship-wright;INDUSTRY;SHIPPING;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Shipping master;SERVICE;SHIPPING;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Shirtmaker;TRADE;TEXTILE INDUSTRY;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Shoe and hat merchants;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Shoemaker;INDUSTRY;HANDICRAFT PRODUCTION;Trade and Industry Business Owners;Manufacturer;;1885-1935;Shanghai Municipal Council, Annual Report;
Signalman;SERVICE;COMMUNICATION;Employees;Office workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Silk inspector;TRADE;TEXTILE INDUSTRY;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Silk merchant;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Wholesale traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Silk reeler;INDUSTRY;TEXTILE INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Singers and dancers;SERVICE;ENTERTAINMENT SERVICES;Other categories;Artists and other;;1885-1935;Shanghai Municipal Council, Annual Report;
Skin inspector;TRADE;LEATHER AND RUBBER INDUSTRY;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Soap maker;INDUSTRY;CHEMICAL INDUSTRY;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Soldier;ADMINISTRATION;GOVERNMENT;Other categories;Army and police;;1885-1935;Shanghai Municipal Council, Annual Report;
Special Representative;;;Professionals and senior executives;Business agent;Representative;1937;Rotary;
Specialist;SERVICE;PROFESSIONAL;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Spice maker;INDUSTRY;FOOD AND TOBACCO INDUSTRY;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Stamp dealer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Stationer;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Statistician;SERVICE;PROFESSIONAL;Professionals and senior executives;Professionals;;1885-1935;Shanghai Municipal Council, Annual Report;
Stenographer;SERVICE;SERVICE;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Steward;SERVICE;DOMESTIC SERVICES;Service staff;Other service staff;;1885-1935;Shanghai Municipal Council, Annual Report;
Stone cutter;TRADE;HANDICRAFT PRODUCTION;Workers;Skilled workers;;1885-1935;Shanghai Municipal Council, Annual Report;
Store staff;TRADE;RETAIL TRADE;Employees;Trade employees;;1885-1935;Shanghai Municipal Council, Annual Report;
Storekeepers;TRADE;RETAIL TRADE;Trade and Industry Business Owners;Small traders;;1885-1935;Shanghai Municipal Council, Annual Report;
Straw braid inspector;INDUSTRY;TEXTILE INDUSTRY;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
Student;MISCELLANEOUS CATEGORIES;UNDEFINED;Unemployed;Unemployed;;1885-1935;Shanghai Municipal Council, Annual Report;
Sub-Manager;;;Middle managers;Manager;Manager;1940;Rotary;
Superintendent;;;Professionals and senior executives;Educational executive;Superintendent;1937;Rotary;
Supt. Of Hospital;;;Professionals and senior executives;Medical executive;Superintendent;1937;Rotary;
Surveyor;SERVICE;PROFESSIONAL;Middle managers;Technicians;;1885-1935;Shanghai Municipal Council, Annual Report;
