Position_Zh_Srce;Position_Eng;Year;Source;Eng_Source
總稽核;chief inspector;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總監督;chief supervisor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
華委;Chinese councillor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
事務員;clerk;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
司令;commander;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
專員;commissioner;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中央執行委員會委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中央政治委員會外交專門委員會主任委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中央政治委員會財政專門委員會主任委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
中央政治會議委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
保管委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
南貨業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
呢絨業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
地皮委員會委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
安全衞生委員會委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
專門委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
捐稅監理委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
會員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
機器染織業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
洋莊茶業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第一組主任委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第一組委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第三組委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第二組主任委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第二組委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
第四組委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
糖業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經濟委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經濟研究處專門委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
編輯委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
茶葉業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
華商捲烟業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
蠶絲改良委員會委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
蠶絲統治會委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
裘業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
評價委員組房地產股主席;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
評議委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
財政委員會委員長;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
貨物股委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
農村復興委員會專門委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
醫學名辭審查委員;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
雜糧油餅業同業公會代表;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經濟董事;committee member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
市政委員;council member;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
參事;counselor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
參事長;counselor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
諮議;counselor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
商學院院長;dean;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
法學院院長;dean;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總務長;dean;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
電機工程學院院長;dean;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
院長;dean;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
廳長;department director;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
內科主任;department head;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務主任;department head;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總務司長;department head;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
營業科副科長;deputy bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總行事務處副處長;deputy bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總行稽核處副處長;deputy bureau chief / section cief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總管理處副總稽核;deputy chief auditor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副局長;Deputy director;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分公司副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分行副司理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
上海分行副理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
信託部副理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
信託部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
儲蓄信託部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
儲蓄部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
儲蓄部暫代副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
南市分行副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
國外部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
國庫局副局長;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
地產處副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
松江運副;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務局副局長;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
業務部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬會副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬行副理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬行副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
滬行及滬儲蓄信託部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
營業處副處長;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
稽核處副處長;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總行儲蓄信託部副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
總行副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
虹口分行副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
西區分行副經理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副司理;deputy manager;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副總經理;deputy manager-general;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
影片部副總經理;deputy manager-general;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副總主筆;deputy managing editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副處長;deputy office chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
副科長;deputy section chief;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
經理;director;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
社長;editor;1936;中國徵信所. 上海工商人名錄. 上海: 美華書館;1936 dictionary
