Position_Eng_Srce;Source
Druggist and Merchant and Director;Asia Directory & Chronicle
Druggist and Merchant and Gen. Manager;Asia Directory & Chronicle
Dry Goods Merchant;Asia Directory & Chronicle
Dyes Department;Asia Directory & Chronicle
Eastern Managing Director;Asia Directory & Chronicle
Editor and Director;Asia Directory & Chronicle
Editor and General Manager;Asia Directory & Chronicle
Editor and Manager;Asia Directory & Chronicle
Editor and Managing Director;Asia Directory & Chronicle
Editor and Proprietor;Asia Directory & Chronicle
Editor and Publisher;Asia Directory & Chronicle
Editorial Associate;Asia Directory & Chronicle
Electric Assistant;Asia Directory & Chronicle
Electric Engineer;Asia Directory & Chronicle
Electric Superintendent;Asia Directory & Chronicle
Electrical Engineer;Asia Directory & Chronicle
Electrical Fitter;Asia Directory & Chronicle
Electrical Litter;Asia Directory & Chronicle
Electrical Ship Fitter;Asia Directory & Chronicle
Electrical Titter;Asia Directory & Chronicle
Electrician;Asia Directory & Chronicle
Electrician, Assistant Superintendent;Asia Directory & Chronicle
Electricien;Asia Directory & Chronicle
Élève Chancelier;Asia Directory & Chronicle
Elève Consul;Asia Directory & Chronicle
Elève Interprète;Asia Directory & Chronicle
Elève Vice-Consul;Asia Directory & Chronicle
Emeritus Profesor of Medecine;Asia Directory & Chronicle
Emigrant Examining Officer;Asia Directory & Chronicle
Emigration Agent;Asia Directory & Chronicle
Employé-in-Charge of the Semaphore;Asia Directory & Chronicle
Empregado;Asia Directory & Chronicle
Encarregado;Asia Directory & Chronicle
Enfermeira;Asia Directory & Chronicle
Enfermeiro;Asia Directory & Chronicle
Engine Driver;Asia Directory & Chronicle
Engine Room Artificer;Asia Directory & Chronicle
Engine Works Manager;Asia Directory & Chronicle
Engineer and Architect;Asia Directory & Chronicle
Engineer and Boilermaker;Asia Directory & Chronicle
Engineer and Contractor;Asia Directory & Chronicle
Engineer and Contractor and Manager;Asia Directory & Chronicle
Engineer and Director;Asia Directory & Chronicle
Engineer and General Manager;Asia Directory & Chronicle
Engineer and Proprietor;Asia Directory & Chronicle
Engineer and Secretary;Asia Directory & Chronicle
Engineer and Shipwright;Asia Directory & Chronicle
Engineer and Superintendent;Asia Directory & Chronicle
Engineer and Surveyor;Asia Directory & Chronicle
Engineer Assistant;Asia Directory & Chronicle
Engineer Captain;Asia Directory & Chronicle
Engineer Chef du Service;Asia Directory & Chronicle
Engineer Commander;Asia Directory & Chronicle
Engineer for Fleet and Reserve Duties;Asia Directory & Chronicle
Engineer for Torpedo Boats;Asia Directory & Chronicle
Engineer in Charge;Asia Directory & Chronicle
Engineer in Chief;Asia Directory & Chronicle
Engineer in Harbour;Asia Directory & Chronicle
Engineer of Ways and Works;Asia Directory & Chronicle
Engineer Officer;Asia Directory & Chronicle
Engineer Overseer;Asia Directory & Chronicle
Engineer Superintendent;Asia Directory & Chronicle
Engineer Surveyor;Asia Directory & Chronicle
Engineer-Executive;Asia Directory & Chronicle
Engineer-in-Chief and General-Manager;Asia Directory & Chronicle
Engineer’s Apprentice;Asia Directory & Chronicle
Engineering Assistant;Asia Directory & Chronicle
Engineering Superintendent;Asia Directory & Chronicle
Enginheiro Director;Asia Directory & Chronicle
English Master;Asia Directory & Chronicle
English Tutor;Asia Directory & Chronicle
Ensign;Asia Directory & Chronicle
Ensign, Acting Commandant;Asia Directory & Chronicle
Entrepreneur Auxiliaire;Asia Directory & Chronicle
Envoy Extraordinary and Minister Plenipotentiary;Asia Directory & Chronicle
Episcopalian Bishop;Asia Directory & Chronicle
Escripturario;Asia Directory & Chronicle
Escrivao;Asia Directory & Chronicle
Escrivao E Enfermeiro;Asia Directory & Chronicle
Escrivao Inspector;Asia Directory & Chronicle
Estate Agent;Asia Directory & Chronicle
Estate Agent and Accountant;Asia Directory & Chronicle
Estate Agent and Secretary;Asia Directory & Chronicle
Estate and General Broker;Asia Directory & Chronicle
Estate and Share Broker;Asia Directory & Chronicle
Estate Broker;Asia Directory & Chronicle
Examiner;Asia Directory & Chronicle
Exchange and Bullion Broker;Asia Directory & Chronicle
Exchange and Share Broker;Asia Directory & Chronicle
Exchange Broker;Asia Directory & Chronicle
Executive Consul;Asia Directory & Chronicle
Executive Engineer;Asia Directory & Chronicle
Executor of the Late Granville Sharp;Asia Directory & Chronicle
Expeditionnaire;Asia Directory & Chronicle
Expense Accounts Officer;Asia Directory & Chronicle
Expense Accounts-Officer;Asia Directory & Chronicle
Export Department;Asia Directory & Chronicle
Export Manager;Asia Directory & Chronicle
Export Merchant;Asia Directory & Chronicle
Exporter;Asia Directory & Chronicle
Exporter and Importer;Asia Directory & Chronicle
Exporter and Manufacturer;Asia Directory & Chronicle
Exporter, Importer and Commission Agent;Asia Directory & Chronicle
Extra Commissioner;Asia Directory & Chronicle
Extraordinary Envoy and Minister;Asia Directory & Chronicle
Eye Specialist;Asia Directory & Chronicle
Factories Inspector;Asia Directory & Chronicle
Factory Clerk;Asia Directory & Chronicle
Factory Manager;Asia Directory & Chronicle
Factory Superintendent;Asia Directory & Chronicle
Factory-Manager;Asia Directory & Chronicle
Facultative;Asia Directory & Chronicle
Far Eastern Administrator;Asia Directory & Chronicle
Far Eastern Manager;Asia Directory & Chronicle
Farrier;Asia Directory & Chronicle
Feldmesser;Asia Directory & Chronicle
Female Searcher;Asia Directory & Chronicle
Fiel;Asia Directory & Chronicle
Fiel do Thesoureiro;Asia Directory & Chronicle
Field Secretary;Asia Directory & Chronicle
Fifth Clerk;Asia Directory & Chronicle
Finance Clerk;Asia Directory & Chronicle
Finance Editor;Asia Directory & Chronicle
Financial Manager;Asia Directory & Chronicle
Financial Secretary;Asia Directory & Chronicle
Financier;Asia Directory & Chronicle
Finisher;Asia Directory & Chronicle
Fire Brick Maker;Asia Directory & Chronicle
Fire Inspector;Asia Directory & Chronicle
Fire Manager;Asia Directory & Chronicle
Fire Master and Inspector;Asia Directory & Chronicle
First Accountant;Asia Directory & Chronicle
First Adjutant;Asia Directory & Chronicle
First Assistant;Asia Directory & Chronicle
First Assistant / Packet Agent;Asia Directory & Chronicle
First Attache;Asia Directory & Chronicle
First Bailiff;Asia Directory & Chronicle
First Battalion;Asia Directory & Chronicle
First Berthing Officer;Asia Directory & Chronicle
First Boarding Office;Asia Directory & Chronicle
First Class Clerk;Asia Directory & Chronicle
First Class Overseer;Asia Directory & Chronicle
First Class Writer;Asia Directory & Chronicle
First Clerk;Asia Directory & Chronicle
First Clerk and Cashier;Asia Directory & Chronicle
First Clerk and Mariage Registar;Asia Directory & Chronicle
First Clerk of Court;Asia Directory & Chronicle
First Engineer;Asia Directory & Chronicle
First Heater;Asia Directory & Chronicle
First Interpreter;Asia Directory & Chronicle
First Keeper;Asia Directory & Chronicle
First Lieutenant;Asia Directory & Chronicle
First Magistrate;Asia Directory & Chronicle
First Mate;Asia Directory & Chronicle
First Officer;Asia Directory & Chronicle
First Police Magistrate;Asia Directory & Chronicle
First Roller;Asia Directory & Chronicle
First Substitute;Asia Directory & Chronicle
First Surgeon;Asia Directory & Chronicle
Fitter;Asia Directory & Chronicle
Fittings Superintendent;Asia Directory & Chronicle
Flag Captain;Asia Directory & Chronicle
Flag Lieutenant;Asia Directory & Chronicle
Fleet Captain;Asia Directory & Chronicle
Fleet Engineer;Asia Directory & Chronicle
Fleet Master;Asia Directory & Chronicle
Fleet Navigating Officer;Asia Directory & Chronicle
Fleet Officer of Marine;Asia Directory & Chronicle
Fleet Paymaster;Asia Directory & Chronicle
Fleet Surgeon;Asia Directory & Chronicle
Fleet-Gunner;Asia Directory & Chronicle
Fleet-Surgeon;Asia Directory & Chronicle
Flour Merchant;Asia Directory & Chronicle
Fonde de Pouvoir;Asia Directory & Chronicle
Foreign Correspondent;Asia Directory & Chronicle
Foreign Representative;Asia Directory & Chronicle
Foreign Secretary;Asia Directory & Chronicle
Foreign Teacher;Asia Directory & Chronicle
Foreman;Asia Directory & Chronicle
Foreman Blacksmith;Asia Directory & Chronicle
Foreman Boilennaker;Asia Directory & Chronicle
Foreman Boilermaker;Asia Directory & Chronicle
Foreman Boilmaker;Asia Directory & Chronicle
Foreman Carpenter;Asia Directory & Chronicle
Foreman Compositor;Asia Directory & Chronicle
Foreman Coppersmith;Asia Directory & Chronicle
Foreman Electrician;Asia Directory & Chronicle
Foreman Engineer;Asia Directory & Chronicle
Foreman Erector;Asia Directory & Chronicle
Foreman Fitter;Asia Directory & Chronicle
Foreman Forger;Asia Directory & Chronicle
Foreman Joiner;Asia Directory & Chronicle
Foreman Litter;Asia Directory & Chronicle
Foreman Mason;Asia Directory & Chronicle
Foreman Mechanic;Asia Directory & Chronicle
Foreman Meter Maker;Asia Directory & Chronicle
Foreman Moulder;Asia Directory & Chronicle
Foreman of Boilermakers;Asia Directory & Chronicle
Foreman of Store;Asia Directory & Chronicle
Foreman of Works;Asia Directory & Chronicle
Foreman Patternmaker;Asia Directory & Chronicle
Foreman Platelayer;Asia Directory & Chronicle
Foreman Plater;Asia Directory & Chronicle
Foreman Plumber;Asia Directory & Chronicle
Foreman Plunilier;Asia Directory & Chronicle
Foreman Printer;Asia Directory & Chronicle
Foreman Reeler;Asia Directory & Chronicle
Foreman Rivetter;Asia Directory & Chronicle
Foreman Sawyer;Asia Directory & Chronicle
Foreman Shipbuilder;Asia Directory & Chronicle
Foreman Shipwright;Asia Directory & Chronicle
Foreman Smith;Asia Directory & Chronicle
Foreman Titter;Asia Directory & Chronicle
Foreman Turner;Asia Directory & Chronicle
Foremant of Works;Asia Directory & Chronicle
Forger;Asia Directory & Chronicle
Fort Adjudant;Asia Directory & Chronicle
Forwarding Agent;Asia Directory & Chronicle
Fourth Class Clerk;Asia Directory & Chronicle
Fourth Engineer;Asia Directory & Chronicle
Freight and Cotton Broker;Asia Directory & Chronicle
Freight Clerk;Asia Directory & Chronicle
Catholic Missionary;Asia Directory & Chronicle
Governess;Asia Directory & Chronicle
Plenipotentiary;Asia Directory & Chronicle
Roman Catholic Missionary;Asia Directory & Chronicle
Trappist Missionary;Asia Directory & Chronicle
Vice-Consul;Asia Directory & Chronicle
Frere Coadjuteur;Asia Directory & Chronicle
Friar;Asia Directory & Chronicle
Friseur;Asia Directory & Chronicle
Functionary;Asia Directory & Chronicle
Functionary for Special Commissions;Asia Directory & Chronicle
Fur Inspector;Asia Directory & Chronicle
Furniture Dealer;Asia Directory & Chronicle
Furniture Maker and Decorator;Asia Directory & Chronicle
Gaoler;Asia Directory & Chronicle
Garn. Varw. Ob. Insp.;Asia Directory & Chronicle
Garrison;Asia Directory & Chronicle
Garrison Schoolmaster;Asia Directory & Chronicle
Garrison Sergeant-Major;Asia Directory & Chronicle
Gas Engineer;Asia Directory & Chronicle
Gas Fitter;Asia Directory & Chronicle
General Administrator;Asia Directory & Chronicle
General Agent;Asia Directory & Chronicle
General Agent Passenger Department;Asia Directory & Chronicle
General Assistant;Asia Directory & Chronicle
General Booker;Asia Directory & Chronicle
General Broker;Asia Directory & Chronicle
General Broker and Commission Agent;Asia Directory & Chronicle
General Commission Agent;Asia Directory & Chronicle
General Constable;Asia Directory & Chronicle
General Contractor;Asia Directory & Chronicle
General Director;Asia Directory & Chronicle
General Draper;Asia Directory & Chronicle
General Exporter;Asia Directory & Chronicle
General Import Merchant;Asia Directory & Chronicle
General Importer;Asia Directory & Chronicle
General Importer and Commission Agent;Asia Directory & Chronicle
General Manager and Partner;Asia Directory & Chronicle
General Manager and Secretary;Asia Directory & Chronicle
General Manager Business Department;Asia Directory & Chronicle
General Manager for China;Asia Directory & Chronicle
General Manager for Far East;Asia Directory & Chronicle
General Manager for the East;Asia Directory & Chronicle
General Manager Pro Tempore;Asia Directory & Chronicle
General Manager Secretary;Asia Directory & Chronicle
General Merchant;Asia Directory & Chronicle
General Passenger Agent for Orient;Asia Directory & Chronicle
General Practitioner;Asia Directory & Chronicle
General Reformado;Asia Directory & Chronicle
General Representative;Asia Directory & Chronicle
General Secretary;Asia Directory & Chronicle
General Secretary Manager;Asia Directory & Chronicle
General Secy;Asia Directory & Chronicle
General Staff Officer;Asia Directory & Chronicle
General Storekeeper;Asia Directory & Chronicle
General Supervisor;Asia Directory & Chronicle
General Traffic Agent;Asia Directory & Chronicle
General Works Manager;Asia Directory & Chronicle
General-Agent;Asia Directory & Chronicle
General-Broker;Asia Directory & Chronicle
Gentlemen’S Outfitter;Asia Directory & Chronicle
Gérant du Consulat de France;Asia Directory & Chronicle
Gerente;Asia Directory & Chronicle
German Governess;Asia Directory & Chronicle
German Missionary;Asia Directory & Chronicle
German Postmaster;Asia Directory & Chronicle
Girls’ Department;Asia Directory & Chronicle
Goaler;Asia Directory & Chronicle
Godown Clerk;Asia Directory & Chronicle
Godown Keeper;Asia Directory & Chronicle
Godown Superintendant;Asia Directory & Chronicle
Godown Superintendent;Asia Directory & Chronicle
Gouvernment Intendant;Asia Directory & Chronicle
Governador do Bispado;Asia Directory & Chronicle
Governeur;Asia Directory & Chronicle
Governing Director;Asia Directory & Chronicle
Government Assistant Surveyor;Asia Directory & Chronicle
Government Auctioneer and Commission Agent;Asia Directory & Chronicle
Government Auditor;Asia Directory & Chronicle
Government Commissioner;Asia Directory & Chronicle
Government Interpreter;Asia Directory & Chronicle
Government Local Auditor;Asia Directory & Chronicle
Government Marine Guard;Asia Directory & Chronicle
Government Marine Surveyor;Asia Directory & Chronicle
Government Medical Officer;Asia Directory & Chronicle
Government Secretary;Asia Directory & Chronicle
Government Surveyor;Asia Directory & Chronicle
Government Treasurer;Asia Directory & Chronicle
Governor of Hongkong;Asia Directory & Chronicle
Governor-General and Commanding the Troops;Asia Directory & Chronicle
Greffier;Asia Directory & Chronicle
Guard;Asia Directory & Chronicle
Guarda;Asia Directory & Chronicle
Guarda Marinha;Asia Directory & Chronicle
Guardalivros;Asia Directory & Chronicle
Gunner;Asia Directory & Chronicle
Gunner’S Mate;Asia Directory & Chronicle
Gunsmith;Asia Directory & Chronicle
H. E. the Belgian Minister;Asia Directory & Chronicle
H. M. Naval Agent;Asia Directory & Chronicle
H.B.M. Acting Chief Justice;Asia Directory & Chronicle
H.B.M. Acting Consul;Asia Directory & Chronicle
H.B.M. Chief Justice;Asia Directory & Chronicle
H.B.M. Consul;Asia Directory & Chronicle
H.B.M. Minister Plenipotentiary;Asia Directory & Chronicle
H.B.M. Officiating Consul;Asia Directory & Chronicle
H.B.M. Vice-Consul;Asia Directory & Chronicle
H.B.M.’S Div. Architect and Surveyor of Works;Asia Directory & Chronicle
H.B.M.’S Vice-Consul;Asia Directory & Chronicle
Hag-Lieutenant;Asia Directory & Chronicle
Hairdresser;Asia Directory & Chronicle
Harbour Engineer;Asia Directory & Chronicle
Harbour Master;Asia Directory & Chronicle
Harbour Master and Marine Magistrate;Asia Directory & Chronicle
Harbour Master and Tide Surveyor;Asia Directory & Chronicle
Harbour Pilot;Asia Directory & Chronicle
Harness Maker;Asia Directory & Chronicle
Head Accountant;Asia Directory & Chronicle
Head Attendent;Asia Directory & Chronicle
Head Clerk;Asia Directory & Chronicle
Head Constable;Asia Directory & Chronicle
Head Draughtsman;Asia Directory & Chronicle
Head Gaoler;Asia Directory & Chronicle
Head Inspector;Asia Directory & Chronicle
Head Master;Asia Directory & Chronicle
Head Mistress;Asia Directory & Chronicle
Head of Sanitary Department;Asia Directory & Chronicle
Head Puddler;Asia Directory & Chronicle
Head Roller;Asia Directory & Chronicle
Head Roller Turner;Asia Directory & Chronicle
Head Teacher;Asia Directory & Chronicle
Head Turnkey;Asia Directory & Chronicle
Head Watchman;Asia Directory & Chronicle
Headmaster;Asia Directory & Chronicle
Headmistress;Asia Directory & Chronicle
Health Department;Asia Directory & Chronicle
Health Inspector;Asia Directory & Chronicle
Health Officer;Asia Directory & Chronicle
Health Officer of Port;Asia Directory & Chronicle
Health Surgeon;Asia Directory & Chronicle
Heater;Asia Directory & Chronicle
Heermann;Asia Directory & Chronicle
Heet Paymaster;Asia Directory & Chronicle
Heet Torpedo Officer, Admiral'S Staff;Asia Directory & Chronicle
Hide Inspector;Asia Directory & Chronicle
Highways Engineer;Asia Directory & Chronicle
Hill and Bullion Broker;Asia Directory & Chronicle
Hill Broker;Asia Directory & Chronicle
Hindustani and Punti Interpreter;Asia Directory & Chronicle
Hoarding Officer;Asia Directory & Chronicle
Hoarding-House Keeper;Asia Directory & Chronicle
Hoklo Interpreter;Asia Directory & Chronicle
Holliday;Asia Directory & Chronicle
Honorary Attache;Asia Directory & Chronicle
Honorary Treasurer;Asia Directory & Chronicle
Hospital Clerk;Asia Directory & Chronicle
Hospital Supervisor;Asia Directory & Chronicle
Hotel Keeper;Asia Directory & Chronicle
Hotel-Keeper;Asia Directory & Chronicle
House and Land Agent;Asia Directory & Chronicle
Huissier;Asia Directory & Chronicle
Hulk Keeper;Asia Directory & Chronicle
Hydrant Inspector;Asia Directory & Chronicle
Hydrographic Surveyor;Asia Directory & Chronicle
Immediate;Asia Directory & Chronicle
Import Agent;Asia Directory & Chronicle
Import and Export Commission Agent;Asia Directory & Chronicle
Import and Export Merchant;Asia Directory & Chronicle
Import Merchant;Asia Directory & Chronicle
Importer;Asia Directory & Chronicle
Importer and Engineer;Asia Directory & Chronicle
Importer and Exporter;Asia Directory & Chronicle
Importer of Watches;Asia Directory & Chronicle
In Charge;Asia Directory & Chronicle
In Charge Gunpowder Depot;Asia Directory & Chronicle
In Charge Gunpowder Depot of Stonecutter Island;Asia Directory & Chronicle
In Charge Naval Stores;Asia Directory & Chronicle
In Charge of Boilermakers;Asia Directory & Chronicle
In Charge of Hulks;Asia Directory & Chronicle
In Charge of Hulls;Asia Directory & Chronicle
In Charge of Native Customs;Asia Directory & Chronicle
In Charge of Naval Establishment;Asia Directory & Chronicle
In Charge of Signal Station;Asia Directory & Chronicle
Incorporated Accountant;Asia Directory & Chronicle
Independent Medical Missionary;Asia Directory & Chronicle
Indian Interperter;Asia Directory & Chronicle
Indian Interpreter;Asia Directory & Chronicle
Infant Mistress;Asia Directory & Chronicle
Infirmier;Asia Directory & Chronicle
Informer;Asia Directory & Chronicle
Ingénieur;Asia Directory & Chronicle
Ingénieur Chef de la 2e Division;Asia Directory & Chronicle
Ingénieur Chimiste;Asia Directory & Chronicle
Ingénieur de Division;Asia Directory & Chronicle
Ingénieur de Section;Asia Directory & Chronicle
Ingénieur Directeur;Asia Directory & Chronicle
Ingénieur En Chef;Asia Directory & Chronicle
Ingénieur et Chef d'Exploitation;Asia Directory & Chronicle
Ingénieur Représentant;Asia Directory & Chronicle
Inner Guard;Asia Directory & Chronicle
Inspecteur;Asia Directory & Chronicle
Inspecteur Commandant de Brigade;Asia Directory & Chronicle
Inspecteur de Police;Asia Directory & Chronicle
Inspecting Officer;Asia Directory & Chronicle
Inspecting Ordnance Officer;Asia Directory & Chronicle
Inspection Officer;Asia Directory & Chronicle
Inspector and Accountant;Asia Directory & Chronicle
Inspector and Harbour Master;Asia Directory & Chronicle
Inspector Architect;Asia Directory & Chronicle
Inspector de Fazenda;Asia Directory & Chronicle
Inspector General of Hospitals;Asia Directory & Chronicle
Inspector General of Police;Asia Directory & Chronicle
Inspector in Charge;Asia Directory & Chronicle
Inspector in Charge of Police;Asia Directory & Chronicle
Inspector Interino;Asia Directory & Chronicle
Inspector of Agencies;Asia Directory & Chronicle
Inspector of Army Schools;Asia Directory & Chronicle
Inspector of Boilermakers;Asia Directory & Chronicle
Inspector of Brothels;Asia Directory & Chronicle
Inspector of Buildings;Asia Directory & Chronicle
Inspector of Cargo Boats and Junk;Asia Directory & Chronicle
Inspector of Cargo Boats and Junks;Asia Directory & Chronicle
Inspector of Cattle;Asia Directory & Chronicle
Inspector of Drainage;Asia Directory & Chronicle
Inspector of English Schools;Asia Directory & Chronicle
Inspector of Examiners;Asia Directory & Chronicle
Inspector of Fitters;Asia Directory & Chronicle
Inspector of Furniture;Asia Directory & Chronicle
Inspector of Junks;Asia Directory & Chronicle
Inspector of Lights;Asia Directory & Chronicle
Inspector of Litters;Asia Directory & Chronicle
Inspector of Machinery;Asia Directory & Chronicle
Inspector of Markets;Asia Directory & Chronicle
Inspector of Nuisances;Asia Directory & Chronicle
Inspector of Ordnance Machinery;Asia Directory & Chronicle
Inspector of Plumbers;Asia Directory & Chronicle
Inspector of Police;Asia Directory & Chronicle
Inspector of Postmen;Asia Directory & Chronicle
Inspector of Roads;Asia Directory & Chronicle
Inspector of Schools;Asia Directory & Chronicle
Inspector of Shipwrights;Asia Directory & Chronicle
Inspector of Stores;Asia Directory & Chronicle
Inspector of Taxes;Asia Directory & Chronicle
Inspector of Vehicles;Asia Directory & Chronicle
Inspector of Vernacular Schools;Asia Directory & Chronicle
Inspector of Vineyards;Asia Directory & Chronicle
Inspector of War Material;Asia Directory & Chronicle
Inspector of Warlike Stores;Asia Directory & Chronicle
Inspector of Water Police;Asia Directory & Chronicle
Inspector of Wireless;Asia Directory & Chronicle
Inspector of Wireless and Telegraph;Asia Directory & Chronicle
Inspector of Works;Asia Directory & Chronicle
Inspector-General;Asia Directory & Chronicle
Inspector-in-Charge;Asia Directory & Chronicle
Inspector-in-Charge of Police Force;Asia Directory & Chronicle
Installation Assistant;Asia Directory & Chronicle
Installation Engineer;Asia Directory & Chronicle
Installation Inspector;Asia Directory & Chronicle
Installation Manager;Asia Directory & Chronicle
Installation Superintendent;Asia Directory & Chronicle
Installation-Manager;Asia Directory & Chronicle
Instructor and Interpreter;Asia Directory & Chronicle
Instructor Boatswain;Asia Directory & Chronicle
Instructor of Cadets;Asia Directory & Chronicle
Instructor of Gunnery;Asia Directory & Chronicle
Instructor Range Finding;Asia Directory & Chronicle
Insurance Agent;Asia Directory & Chronicle
Insurance and General Broker;Asia Directory & Chronicle
Insurance Representative;Asia Directory & Chronicle
Intendant;Asia Directory & Chronicle
Interim Agent;Asia Directory & Chronicle
International Commissioner;Asia Directory & Chronicle
International Commissioner of Police;Asia Directory & Chronicle
Interprète Auxiliaire;Asia Directory & Chronicle
Interprète Chancelier;Asia Directory & Chronicle
Interpreter and Acting Clerk and Bailiff;Asia Directory & Chronicle
Interpreter and Assessor;Asia Directory & Chronicle
Interpreter and Assessor At Mixed Court;Asia Directory & Chronicle
Interpreter and Clerk;Asia Directory & Chronicle
Interpreter and Mixed Court Assessor;Asia Directory & Chronicle
Interpreter and Post Office Agent;Asia Directory & Chronicle
Interpreter and Printer;Asia Directory & Chronicle
Interpreter and Pro-Consul;Asia Directory & Chronicle
Interpreter and Pro-Consul for Great Britain;Asia Directory & Chronicle
Interpreter and Secretary;Asia Directory & Chronicle
Interpreter In Charge;Asia Directory & Chronicle
Issuer of Stores;Asia Directory & Chronicle
Jail Keeper;Asia Directory & Chronicle
Jail Warden;Asia Directory & Chronicle
Jailer;Asia Directory & Chronicle
Japanese Adviser;Asia Directory & Chronicle
Japanese Postmaster;Asia Directory & Chronicle
Jeweller;Asia Directory & Chronicle
Jeweller and Importer;Asia Directory & Chronicle
Jeweller and Optician;Asia Directory & Chronicle
Jobbing Foreman;Asia Directory & Chronicle
Joiner;Asia Directory & Chronicle
Joint Manager;Asia Directory & Chronicle
Juge Assesseur;Asia Directory & Chronicle
Juge Consulaire;Asia Directory & Chronicle
Juge de Paix A Competence Etendue;Asia Directory & Chronicle
Juinor Partner;Asia Directory & Chronicle
Juiz de Direito;Asia Directory & Chronicle
Juiz Substituto;Asia Directory & Chronicle
Junior;Asia Directory & Chronicle
Junior Assistant;Asia Directory & Chronicle
Junior Assistant Master;Asia Directory & Chronicle
Junior Marine Officer;Asia Directory & Chronicle
Junior Medical Officer;Asia Directory & Chronicle
Junior Partner;Asia Directory & Chronicle
Junior Sub-Accountant;Asia Directory & Chronicle
Junior Treasurer;Asia Directory & Chronicle
Kaiserlicher Oberrichter Kriegsgerichtsrath;Asia Directory & Chronicle
Kapitanleutnant;Asia Directory & Chronicle
King’s Harbour Master;Asia Directory & Chronicle
Kommandeur;Asia Directory & Chronicle
Laboratory Assistant;Asia Directory & Chronicle
Lamocks Lightkeeper;Asia Directory & Chronicle
Land Agent;Asia Directory & Chronicle
Land Agent and Broker;Asia Directory & Chronicle
Land and Commission Agent;Asia Directory & Chronicle
Land and Estate Agent;Asia Directory & Chronicle
Land and Estate Broker;Asia Directory & Chronicle
Land and General Broker;Asia Directory & Chronicle
Land Bailiff;Asia Directory & Chronicle
Land Broker and Estates Agent;Asia Directory & Chronicle
Land Department;Asia Directory & Chronicle
Land Estate Agent;Asia Directory & Chronicle
Land Estate and Commission Agent;Asia Directory & Chronicle
Land Officer;Asia Directory & Chronicle
Land Owner;Asia Directory & Chronicle
Land Surveyor;Asia Directory & Chronicle
Land, Estate and Commission Agent;Asia Directory & Chronicle
Land, Estate, and Commission Agent;Asia Directory & Chronicle
Landowner;Asia Directory & Chronicle
Language Attache;Asia Directory & Chronicle
Language Officer;Asia Directory & Chronicle
Launch Inspector;Asia Directory & Chronicle
Launch Officer;Asia Directory & Chronicle
Law Reporter and Short Hand Writer;Asia Directory & Chronicle
Law Secretary;Asia Directory & Chronicle
Lawyer;Asia Directory & Chronicle
Lawyer and Administrador;Asia Directory & Chronicle
Lawyer and Editor Independente;Asia Directory & Chronicle
Lawyer and Vice President;Asia Directory & Chronicle
Leading Fitter;Asia Directory & Chronicle
Leading Titter;Asia Directory & Chronicle
Leadingman;Asia Directory & Chronicle
Leadingman of Boilermakers;Asia Directory & Chronicle
Leadingman of Fitters;Asia Directory & Chronicle
Leadingman of Storehouses;Asia Directory & Chronicle
Leadingman of Titters;Asia Directory & Chronicle
Leandingman of Boilermakers;Asia Directory & Chronicle
Leandingman of Fitters;Asia Directory & Chronicle
Leandingman of Storehouses;Asia Directory & Chronicle
Leather and Shoe Merchant;Asia Directory & Chronicle
Lecturer of Civil and Mechanical Engineering;Asia Directory & Chronicle
Lecturer of Mechanical Engineering;Asia Directory & Chronicle
Lecturer On Eye Diseases;Asia Directory & Chronicle
Legal Assistant;Asia Directory & Chronicle
Lessee;Asia Directory & Chronicle
Lessee and Publisher;Asia Directory & Chronicle
Librarian-in-Charge;Asia Directory & Chronicle
Licensee;Asia Directory & Chronicle
Licensee and Manager;Asia Directory & Chronicle
Licensing Inspector;Asia Directory & Chronicle
Licet Paymaster;Asia Directory & Chronicle
Lieutenant Acting Assistant Chinese Secretary;Asia Directory & Chronicle
Lieutenant and Commandant;Asia Directory & Chronicle
Lieutenant and Quartermaster;Asia Directory & Chronicle
Lieutenant Chief Instructor;Asia Directory & Chronicle
Lieutenant Commandant;Asia Directory & Chronicle
Lieutenant Commander;Asia Directory & Chronicle
Lieutenant In Charge;Asia Directory & Chronicle
Lieutenant of Infantry;Asia Directory & Chronicle
Lieutenant of Marine;Asia Directory & Chronicle
Lieutenant of Marines;Asia Directory & Chronicle
Lieutenant Quartermaster;Asia Directory & Chronicle
Lieutenant-Colonel;Asia Directory & Chronicle
Lieutenant-Colonel and Chief;Asia Directory & Chronicle
Lieutenant-Colonel and Commandant;Asia Directory & Chronicle
Lieutenant-Colonel and Director;Asia Directory & Chronicle
Lieutenant-Commandant;Asia Directory & Chronicle
Lieutenant-Governor and Commandant;Asia Directory & Chronicle
Lighthouse Keeper;Asia Directory & Chronicle
Lightship Officer;Asia Directory & Chronicle
Liide Inspector;Asia Directory & Chronicle
Line Engineer;Asia Directory & Chronicle
Line Overseer;Asia Directory & Chronicle
Linguist;Asia Directory & Chronicle
Lioilennaker;Asia Directory & Chronicle
Liquidator and Estate Agent;Asia Directory & Chronicle
Livery Stable Keeper;Asia Directory & Chronicle
Loan Officer Works;Asia Directory & Chronicle
Loan Works Officer;Asia Directory & Chronicle
Local Agent;Asia Directory & Chronicle
Local and Coast Pilot;Asia Directory & Chronicle
Local Auditor;Asia Directory & Chronicle
Local Manager;Asia Directory & Chronicle
Local Postmaster;Asia Directory & Chronicle
