Position_Eng_Srce;Source
Manager;Biographical Dictionary of Republican China, vols 1-4
Liquidator;Biographical Dictionary of Republican China, vols 1-4
Carpenter;Biographical Dictionary of Republican China, vols 1-4
Cadet;Biographical Dictionary of Republican China, vols 1-4
Military Affairs Commissioner;Biographical Dictionary of Republican China, vols 1-4
Speaker;Biographical Dictionary of Republican China, vols 1-4
City Planner;Biographical Dictionary of Republican China, vols 1-4
Architectural Consultant;Biographical Dictionary of Republican China, vols 1-4
Field Director;Biographical Dictionary of Republican China, vols 1-4
Party Representative;Biographical Dictionary of Republican China, vols 1-4
First Secretary;Biographical Dictionary of Republican China, vols 1-4
Deputy Surgeon General;Biographical Dictionary of Republican China, vols 1-4
Surgeon;Biographical Dictionary of Republican China, vols 1-4
Medical Inspector;Biographical Dictionary of Republican China, vols 1-4
Chief Executive;Biographical Dictionary of Republican China, vols 1-4
Associate Compiler;Biographical Dictionary of Republican China, vols 1-4
Medical Director;Biographical Dictionary of Republican China, vols 1-4
Border Defense Commissioner;Biographical Dictionary of Republican China, vols 1-4
Educational Secretary;Biographical Dictionary of Republican China, vols 1-4
Personal Military Staff;Biographical Dictionary of Republican China, vols 1-4
Executive Board Member;Biographical Dictionary of Republican China, vols 1-4
Negotiator;Biographical Dictionary of Republican China, vols 1-4
Monk;Biographical Dictionary of Republican China, vols 1-4
Abbot;Biographical Dictionary of Republican China, vols 1-4
Ticket Seller;Biographical Dictionary of Republican China, vols 1-4
Stenographer;Biographical Dictionary of Republican China, vols 1-4
Executive Member;Biographical Dictionary of Republican China, vols 1-4
Procurator General;Biographical Dictionary of Republican China, vols 1-4
Field Inspector;Biographical Dictionary of Republican China, vols 1-4
Assistant Examiner;Biographical Dictionary of Republican China, vols 1-4
Assistant Secretary;Biographical Dictionary of Republican China, vols 1-4
Consul;Biographical Dictionary of Republican China, vols 1-4
Junior Officer;Biographical Dictionary of Republican China, vols 1-4
Actor;Biographical Dictionary of Republican China, vols 1-4
Chief of Police;Biographical Dictionary of Republican China, vols 1-4
Daotai;Biographical Dictionary of Republican China, vols 1-4
Provisional National Assembly Member;Biographical Dictionary of Republican China, vols 1-4
English Teacher;Biographical Dictionary of Republican China, vols 1-4
Honorary Adviser;Biographical Dictionary of Republican China, vols 1-4
Engineer;Biographical Dictionary of Republican China, vols 1-4
Medical Adviser;Biographical Dictionary of Republican China, vols 1-4
Honorary Superintendent;Biographical Dictionary of Republican China, vols 1-4
Visiting Surgeon;Biographical Dictionary of Republican China, vols 1-4
Medical Officer;Biographical Dictionary of Republican China, vols 1-4
Assistant Chief;Biographical Dictionary of Republican China, vols 1-4
Inspector;Biographical Dictionary of Republican China, vols 1-4
Board member;Biographical Dictionary of Republican China, vols 1-4
Librarian;Biographical Dictionary of Republican China, vols 1-4
Corresponding Member;Biographical Dictionary of Republican China, vols 1-4
Honorary President;Biographical Dictionary of Republican China, vols 1-4
Deputy Military Governor;Biographical Dictionary of Republican China, vols 1-4
Deputy Commander In Chief;Biographical Dictionary of Republican China, vols 1-4
Branch Column Commander;Biographical Dictionary of Republican China, vols 1-4
Professor;Biographical Dictionary of Republican China, vols 1-4
Liaison Officer;Biographical Dictionary of Republican China, vols 1-4
Deputy Commissar;Biographical Dictionary of Republican China, vols 1-4
Political Adviser;Biographical Dictionary of Republican China, vols 1-4
Vice Chancellor;Biographical Dictionary of Republican China, vols 1-4
Council Membership;Biographical Dictionary of Republican China, vols 1-4
Divisional Staff Officer;Biographical Dictionary of Republican China, vols 1-4
Adjutant;Biographical Dictionary of Republican China, vols 1-4
Political Council Member;Biographical Dictionary of Republican China, vols 1-4
Naval Attache;Biographical Dictionary of Republican China, vols 1-4
Department Director;Biographical Dictionary of Republican China, vols 1-4
Prefect;Biographical Dictionary of Republican China, vols 1-4
Chief Technician;Biographical Dictionary of Republican China, vols 1-4
Junior Guardian;Biographical Dictionary of Republican China, vols 1-4
Coowner;Biographical Dictionary of Republican China, vols 1-4
Owner;Biographical Dictionary of Republican China, vols 1-4
Assistant Director General;Biographical Dictionary of Republican China, vols 1-4
Counsellor;Biographical Dictionary of Republican China, vols 1-4
Vice Commander;Biographical Dictionary of Republican China, vols 1-4
Regiment Commander;Biographical Dictionary of Republican China, vols 1-4
Personal Chief;Biographical Dictionary of Republican China, vols 1-4
Deputy Pacification Commander;Biographical Dictionary of Republican China, vols 1-4
National Director;Biographical Dictionary of Republican China, vols 1-4
Educational Supervisor;Biographical Dictionary of Republican China, vols 1-4
Zhushi;Biographical Dictionary of Republican China, vols 1-4
Vice-President;Biographical Dictionary of Republican China, vols 1-4
Deputy commissioner;Biographical Dictionary of Republican China, vols 1-4
Chief Political Officer;Biographical Dictionary of Republican China, vols 1-4
Proctor;Biographical Dictionary of Republican China, vols 1-4
Apostolic Vicar;Biographical Dictionary of Republican China, vols 1-4
Cardinal;Biographical Dictionary of Republican China, vols 1-4
Political Training Board Member;Biographical Dictionary of Republican China, vols 1-4
Aide;Biographical Dictionary of Republican China, vols 1-4
Deputy Judge;Biographical Dictionary of Republican China, vols 1-4
Tutor;Biographical Dictionary of Republican China, vols 1-4
Honorary Consultant;Biographical Dictionary of Republican China, vols 1-4
Controller General;Biographical Dictionary of Republican China, vols 1-4
Confidential Chinese secretary;Biographical Dictionary of Republican China, vols 1-4
Vice Zongcai;Biographical Dictionary of Republican China, vols 1-4
Financial Adviser;Biographical Dictionary of Republican China, vols 1-4
Assistant Instructor;Biographical Dictionary of Republican China, vols 1-4
Provincial Commander;Biographical Dictionary of Republican China, vols 1-4
Editor-Compiler;Biographical Dictionary of Republican China, vols 1-4
Division Director;Biographical Dictionary of Republican China, vols 1-4
Teaching Assistant;Biographical Dictionary of Republican China, vols 1-4
