ID_ROW;Street_Srce;Street_zhS;Street_PINYIN;Street_SUFFIX_Py;Street_Eng;FOREIGN_SETTLEMENT;Street_Eng_SUFFIX;Year_START;Year_END;Year_END_PRC;Street_New_ZhT;Street_New_ZhT_SUFFIX;Street_New_ZhS;Street_New_SUFFIX;Street_New_full;Street_New_PINYIN;Street_New_SUFFIX_Py;LOCALIZATION_INDICATOR;DISTRICT;PERIOD;Street_Eng_full;NOTES;Dating_qualifier;Source
298;北揚子路;北扬子路;BEIYANGZI;LU;NORTH YANGTZE;International Settlement;ROAD;1910;1943;;揚子江;路;扬子江;路;扬子江路;YANGZIJIANG;LU;;虹口区;20世纪初-1943;NORTH YANGTZE ROAD;;;
1164;北新涇鎮新街;北新泾镇新街;BEIXINJINGZHEN;XINJIE;;;;1912;1927;;蒲松;南路;蒲松;南路;蒲松南路;PUSONG;NANLU;;长宁区;1912-1927;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1512;北新街;北新街;BEIXIN;JIE;;;;1863;;;山東;路;山东;路;山东南路（南段）;SHANDONG ;N;NANDUAN;黄浦区;1863年后;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1413;北梅園路;北梅园路;BEIMEIYUAN;LU;;;;1920;1930;;梅園;路;梅园;路;梅园路;MEIYUAN;LU;;闸北区;20年代-30年代初;;;;
293;北江西路;北江西路;BEIJIANGXI;LU;NORTH KIANGSE;International Settlement;ROAD;1850;1943;2006;江西;北路;江西;北路;江西北路;JIANGXI;BEILU;;虹口区;19世纪中叶-1945;;;;
684;北江陰街;北江阴街;BEIJIANGYIN;JIE;;;;;;;馬橋;北街;马桥;北街;马路桥北街（北段）;MALUQIAOJIE ;BEIJIE;BEIDUAN;南市区;;;;;
292;北河南路;北河南路;BEIHENAN;LU;NORTH HONAN;International Settlement;ROAD;1880;1943;2006;河南;北路;河南;北路;河南北路;HENAN;BEILU;;虹口、闸北区;19世纪80年代-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
321;北河路;北河路;BEIHE;LU;PEIHO;International Settlement;ROAD;1920;1943;;白河;路;白河;路;白河路;BAIHE;LU;;黄浦区;1920-1943;PEIHO ROAD;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1678;北泥牆圈路;北泥墙圈路;BEINIQIANGQUAN;LU;;;;;;;北張家浜;路;北张家浜;路;北张家浜路;BEIZHANGJIABANG;LU;;黄浦区;;;;;
289;北浙江路;北浙江路;BEIZHEJIANG;LU;NORTH CHEKIANG;International Settlement;ROAD;1896;1943;2006;浙江;北路;浙江;北路;浙江北路;ZHEJIANG;BEILU;;黄浦区;1896-1943;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
310;北海路;北海路;BEIHAI;LU;PAKHOI;International Settlement;ROAD;;1943;2006;北海;路;北海;路;北海路;BEIHAI;LU;;黄浦区;;;;;
526;北獅子弄;北狮子弄;BEISHIZI;LONG;;;;;;;馬街;街;马街;街;马街27号对面;MAJIE;;27 HAO DUIMIAN;南市区;;;;;
1653;北石駁岸;北石驳岸;BEISHIBO'AN;;;;;;;;紅欄杆;街;红栏杆;街;红栏杆街;HONGLANGAN;JIE;;南市区;;;;;
290;北福建路;北福建路;BEIFUJIAN;LU;NORTH FOKIEN ;International Settlement;ROAD;1891;1943;2006;福建;北路;福建;北路;福建北路;FUJIAN;BEILU;;闸北区;1891-1943;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1146;北薛華立路;北薛华立路;BEIXUEHUALI;LU;;;;1917;1920;;建德;路;建德;路;建德路;JIANDE;LU;;卢湾区;1917-1920;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
295;北蘇州路;北苏州路;BEISUZHOU;LU;NORTH SOOCHOW;International Settlement;ROAD;1910;1925;1950;光復;路;光复;路;光复路;GUANGFU;LU;;闸北区;20世纪初-1925;;;;
1167;北蘇州路;北苏州路;BEISUZHOU;LU;;;;1866;1924;2006;北蘇州;路;北苏州;路;北苏州路;BEISUZHOU;LU;;闸北、虹口区;1866-1924;;;;
1334;北街;北街;BEIJIE;;;;;1905;1921;;昌北;路;昌北;路;昌北路;CHANGBEI;LU;;吴淞区;清末-1921;;;;
297;北西藏路;北西藏路;BEIXIZANG;LU;NORTH TIBET;International Settlement;ROAD;1900;1943;2006;西藏;北路;西藏;北路;西藏北路;XIZANG;BEILU;;闸北区;约1900-1943;;;;
1408;北諸家橋;北诸家桥;BEIZHUJIA;QIAO;;;;;;;桃園;路;桃园;路;桃园路;TAOYUAN;LU;;南市区;;;;;
291;北門街;北门街;BEIMEN;JIE;NORTH GATE;International Settlement;ROAD;1845;1865;;廣東;路;广东;路;广东路（东段）;GUANGDONG ;LU;DONGDUAN;黄浦区;1845-1865;NORTH GATE ROAD;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1175;北門路;北门路;BEIMEN;LU;;;;1865;1872;;河南;南路;河南;南路;河南南路;HENAN;NANLU;;黄浦区;1865-1872;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1322;北雲南路;北云南路;BEIYUNNAN;LU;;;;1869;1943;2006;雲南;北路;云南;北路;云南北路;YUNNAN;BEILU;;黄浦区;1869-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
451;匯司林路;汇司林路;HUISILIN;LU;WEST END;International Settlement;ROAD;1910;1943;;西街;街;西街;街;西街;XIJIE;LU;;虹口区;20世纪初-1943;WEST END ROAD;;;
446;匯山路;汇山路;HUISHAN;LU;WAYSIDE;International Settlement;ROAD;1895;1943;;霍山;路;霍山;路;霍山路;HUOSHAN;LU;;虹口、杨浦区;1895-1943;WAYSIDE ROAD;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1053;匯西路;汇西路;HUIXI;LU;;;;;;;徐文;路;徐文;路;徐文路;XUWEN;LU;;徐汇区;;;;;
1447;區裏道;区里道;QULI;DAO;;;;1928;1956;;新閔;路;新闵;路;新闵路;XINWEN;LU;;闵行区;1928-1956;;;;
1359;十六間;十六间;SHILIUJIAN;LU;;;;;1932;;同江;路;同江;路;同江路;TONGJIANG;LU;;吴淞区;1932年前;;;;
1624;千愛路;千爱路;QIANAI;LU;;;;1920;1950;;甜愛;路;甜爱;路;甜爱路;TIAN'AI;LU;;虹口区;1920-20世纪50年代;;;;
753;半涇園弄;半泾园弄;BANJINGYUAN;LONG;;;;;;;半涇園;弄;半泾园;弄;半泾园弄;BANJINGYUAN;LONG;;南市区;;;;;
599;協儀路;协仪路;XIEYI;LU;;;;1940;1943;;國定;路;国定;路;国定路;GUODING;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1547;協儀路西二街;协仪路西二街;XIEYILU;XI'ERJIE;;;;1940;1943;;國福;路;国福;路;国福路;GUOFU;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1135;協儀路西街;协仪路西街;XIEYILU;XIJIE;;;;1940;1943;;國達;路;国达;路;国达路;GUODA;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1558;協力路;协力路;XIELI;LU;;;;1940;1943;;政宣;路;政宣;路;政宣路;ZHENGXUAN;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1546;協同路;协同路;XIETONG;LU;;;;1940;1943;;政本;路;政本;路;政本路;ZHENGBEN;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
875;協和路;协和路;XIEHE;LU;;;;1937;1947;;邯鄲;路;邯郸;路;邯郸路;HANDAN;LU;;虹口区;1937-1947;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1542;協平路;协平路;XIEPING;LU;;;;1940;1943;;國順;路;国顺;路;国顺路;GUOXUN;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1545;協平路西街;协平路西街;XIEPINGLU;XIJIE;;;;1940;1943;;國年;路;国年;路;国年路;GUONIAN;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1554;協建路;协建路;XIEJIAN;LU;;;;1940;1943;;政化;路;政化;路;政化路;ZHENGHUA;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1553;協成路;协成路;XIECHENG;LU;;;;1940;1943;;國粹;路;国粹;路;国粹路;GUOSUI;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
685;協睦路;协睦路;XIEMU;LU;;;;1940;1943;;國權;路;国权;路;国权路;GUOQUAN;LU;;杨浦区;1940-1945;;;;
1118;協睦路西二街;协睦路西二街;XIEMU;XI'ERJIE;;;;1940;1943;;國權;後路;国权;后路;国权后路;GUOQUAN;HOULU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1550;協贊路;协赞路;XIEZAN;LU;;;;1940;1943;;政法;路;政法;路;政法路;ZHENGFA;LU;;杨浦区;1940-1945;;;;
1691;協進路;协进路;XIEJIN;LU;;;;1940;1943;;政修;路;政修;路;政修路;ZHENGXIU;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
1561;協進路東一街;协进路东一街;XIEJINLU;DONGYIJIE;;;;1940;1943;;政熙;路;政熙;路;政熙路;ZHENGXI;LU;;杨浦区;1940-1945;;;Exact year stated;彰国躍. 上海 の道路命 名年表—社会言語学的命名論の基礎研究. https://kanagawa-u.repo.nii.ac.jp/record/5850/files/kana-9-8-0004.pdf
