Discipline_ZhS_Srce,Discipline_ZhT_Srce,Discipline_Level2,Discipline_Level2_Strd,Discipline_Level1,Discipline_Level1_Strd,Discipline_Level0,Discipline_Level0_ZhT,Level1_code,,,,
农学院，1年级,農學院，1年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院（理学院）,農學院（理學院）,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院化学,農學院化學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院化学学系,農學院化學學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院化学农业学系一年级,農學院化學農業學系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院及文学院,農學院及文學院,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园专,農學院園專,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园专科,農學院園專科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园专系,農學院園專系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺,農學院園藝,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺学系,農學院園藝學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺专修科,農學院園藝專修科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺专科,農學院園藝專科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺专科系,農學院園藝專科系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺师资科,農學院園藝師資科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺畜牧系,農學院園藝畜牧系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺研究所,農學院園藝研究所,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺研究部,農學院園藝研究部,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺科,農學院園藝科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系,農學院園藝系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系？,農學院園藝系？,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系作物组,農學院園藝系作物組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系转农学院昆虫系,農學院園藝系轉農學院昆蟲系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系转农学院森林系,農學院園藝系轉農學院森林系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系转农学院农业教育系转农学院作物组,農學院園藝系轉農學院農業教育系轉農學院作物組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺系转农学院农业经济系,農學院園藝系轉農學院農業經濟系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺组,農學院園藝組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院园艺组专修科,農學院園藝組專修科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院土壤组,農學院土壤組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院专修科,農學院專修科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院专修系,農學院專修系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院专业专修科,農學院專業專修科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院专科,農學院專科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院教育系,農學院教育系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院昆虫,農學院昆蟲,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院昆虫学,農學院昆蟲學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院昆虫研究组,農學院昆蟲研究組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院昆虫系,農學院昆蟲系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院昆虫组,農學院昆蟲組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院林学,農學院林學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院林学系,農學院林學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院林专,農學院林專,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院林业专修科,農學院林業專修科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院林艺学系,農學院林藝學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院桑蚕学系,農學院桑蠶學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院桑蚕系,農學院桑蠶系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林化学,農學院森林化學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林学,農學院森林學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林学系,農學院森林學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林学系一年级,農學院森林學系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林系,農學院森林系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林系转农学院园艺系,農學院森林系轉農學院園藝系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院森林系转农学院园艺系（毕业直转昆虫组肄业）,農學院森林系轉農學院園藝系（畢業直轉昆蟲組肄業）,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院机农艺学系一年级,農學院機農藝學系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院牧学,農學院牧學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院特别生,農學院特別生,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜牧学,農學院畜牧學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜牧学系,農學院畜牧學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜牧学系一年级,農學院畜牧學系一年級,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜牧系,農學院畜牧系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜牧医系,農學院畜牧醫系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜兽学系,農學院畜獸學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜产系,農學院畜産系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院畜医系,農學院畜醫系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院病害系,農學院病害系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院经济昆虫学,農學院經濟昆蟲學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院经济昆虫系,農學院經濟昆蟲系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院蚕学系,農學院蠶學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院蚕桑学,農學院蠶桑學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院蚕桑学系,農學院蠶桑學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院蚕桑系,農學院蠶桑系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院转学生,農學院轉學生,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农（艺）学系,農學院農（藝）學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农化,農學院農化,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农化学,農學院農化學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农化系,農學院農化系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农地学系,農學院農地學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农学,農學院農學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农学教育,農學院農學教育,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农学系,農學院農學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专,農學院農專,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专园艺组,農學院農專園藝組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专工程组,農學院農專工程組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专科,農學院農專科,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专科工程组,農學院農專科工程組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专系,農學院農專系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专农业工程,農學院農專農業工程,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农专农业工程组,農學院農專農業工程組,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农工系,農學院農工系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农工组转理学院化工系,農學院農工組轉理學院化工系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农教学系,農學院農教學系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农教系,農學院農教系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农教系转农学院园艺系,農學院農教系轉農學院園藝系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农教系转农学院农经系,農學院農教系轉農學院農經系,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农林化学,農學院農林化學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农林经济学,農學院農林經濟學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
农学院农业化学,農學院農業化學,Agriculture and Forestry,農林學,Biological Sciences,生物科學,Science,科學,PSC,,,,
